,57000,57315,b920_04,47.79496723014862,8.201471959271691,124.05986813163885,11.028300555857081,34.42545152574989,8.187129422880199,3.9520197082680344,0.815729627072251,44.125773277369994,8.20147195927.1,3.946147036932409,0.815729627072.1,30.75629053069014,8.18712942288.1,3.94614703693.1,0.815729627072.2,Unnamed: 19,Unnamed: 20,Unnamed: 21,0.88336,297.81,38.7241439819,6.6449460983,100.5150222778,8.9352817535,27.8919773102,6.6333255768,3.2019810677,0.6609154344,35.7513122559,6.6449460983.1,3.1972229481,0.6609154344.1,24.919172287,6.6333255768.1,3.1972229481.1,0.6609154344.2
0,57540,58490,b920_06,85.7278342787,8.83949260042,178.116575184,8.54228243071,66.657649273,8.81799369968,7.34166795418,1.80100466626,80.0487237734,8.83949260042,7.3343682231,1.80100466626,60.9777263745,8.81799369968,7.3343682231,1.80100466626,,,,0.87459,295.79,69.2379302979,7.1392002106,143.855529785,6.8991589546,53.8359298706,7.1218366623,5.9294848442,1.4545781612,64.6512069702,7.1392002106,5.9235892296,1.4545781612,49.248550415,7.1218366623,5.9235892296,1.4545781612
1,59025,61200,b920_08,161.398225561,15.9077438053,205.945185551,49.144629139,138.227886267,15.8013224328,13.9196511227,5.95539725242,152.716568625,15.9077438053,13.9118438773,5.95539725242,129.546689681,15.8013224328,13.9118438773,5.95539725242,,,,0.69611,286.825,106.994346619,10.5455846786,136.525482178,32.5790290833,91.6342315674,10.4750356674,9.2276353836,3.9479606152,101.239089966,10.5455846786,9.2224597931,3.9479606152,85.8792800903,10.4750356674,9.2224597931,3.9479606152
2,52380,53489,b921_02,178.390993438,19.8061479896,180.616310319,5.37010235052,155.706729816,19.4419768,16.1178823373,2.03260944125,173.721521907,19.8061479896,16.0977775918,2.03260944125,151.038014955,19.4419768,16.0977775918,2.03260944125,,,,0.69585,285.62,118.713783264,13.1803894043,120.194664002,3.5736398697,103.618095398,12.938044548,10.7259607315,1.3526397943,115.606391907,13.1803894043,10.7125816345,1.3526397943,100.511207581,12.938044548,10.7125816345,1.3526397943
3,53700,54120,b921_04,23.7769248275,7.36502908194,47.1103996952,7.39230511435,20.0363686624,7.3421811161,1.31677887447,0.5289459543,22.3155627891,7.36502908194,1.31397362808,0.5289459543,18.574902266,7.3421811161,1.31397362808,0.5289459543,,,,0.69566,284.84,15.8618173599,4.9132823944,31.4278049469,4.9314785004,13.3664560318,4.8980402946,0.8784359694,0.3528649807,14.8869285583,4.9132823944,0.8765645623,0.3528649807,12.391497612,4.8980402946,0.8765645623,0.3528649807
4,54285,55755,b921_06,92.5156721838,9.70466294762,102.130832651,43.1954819132,80.8668911666,9.66579605248,9.65287669976,0.845954644932,87.8195321981,9.70466294762,9.64243051909,0.845954644932,76.1708600176,9.66579605248,9.64243051909,0.845954644932,,,,0.69592,285.445,61.6103096008,6.462767601,68.0134735107,28.7657966614,53.8528671265,6.4368844032,6.4282808304,0.5633589029,58.4829406738,6.462767601,6.4213242531,0.5633589029,50.7255706787,6.4368844032,6.4213242531,0.5633589029
5,60410,61005,b922_02,93.7773122982,10.8790756363,109.615139917,15.7081498005,82.8545702689,10.8358371482,7.57536691229,8.42211823074,89.166769621,10.8790756363,7.57120581791,8.42211823074,78.2443287565,10.8358371482,7.57120581791,8.42211823074,,,,0.81167,291.725,71.2696838379,8.2679729462,83.3062515259,11.9380140305,62.9685249329,8.2351121902,5.7571921349,6.4007134438,67.7657241821,8.2679729462,5.7540297508,6.4007134438,59.4647941589,8.2351121902,5.7540297508,6.4007134438
6,61322,61925,b922_04,511.214803459,73.1749003102,41.7786131218,13.5841677208,483.064848979,73.1744340859,1.58856796113,3.11173926576,360.676723023,73.1749003102,1.46883692335,3.11173926576,332.526597058,73.1744340859,1.46883692335,3.11173926576,,,SAMPLED CLOUD,0.75169,288.44,363.904907227,52.0890731812,29.7398319244,9.6698007584,343.866546631,52.0887413025,1.1308116913,2.2150712013,256.745361328,52.0890731812,1.0455819368,2.2150712013,236.706878662,52.0887413025,1.0455819368,2.2150712013
7,57160,57880,b924_02,165.839673548,14.6932639019,460.092182078,14.5671867474,116.546462766,14.6482447643,11.3232454375,3.77630241497,154.407899535,14.6932639019,11.3138198685,3.77630241497,105.114730468,14.6482447643,11.3138198685,3.77630241497,,,,1.00753,300.95,151.653793335,13.4364061356,420.736022949,13.3211135864,106.577110291,13.3952379227,10.3546581268,3.4532785416,141.199890137,13.4364061356,10.3460388184,3.4532785416,96.1232452393,13.3952379227,10.3460388184,3.4532785416
8,58170,58470,b924_04,1318.05314279,217.234434747,795.579535171,273.763446981,1202.70759983,211.418270052,156.690075259,15.1247789317,1222.91038607,217.234434747,156.579481493,15.1247789317,1107.56687632,211.418270052,156.579481493,15.1247789317,,,,0.90517,305.05,1068.30004883,176.071472168,644.828063965,221.889007568,974.810913086,171.357391357,126.999443054,12.2588396072,991.185546875,176.071472168,126.909805298,12.2588396072,897.698059082,171.357391357,126.909805298,12.2588396072
9,58660,58960,b924_06,1673.06515463,228.405161649,873.050787064,155.519381671,1542.70563905,228.35834787,210.004279515,18.6952016612,1553.83587843,228.405161649,209.855879082,18.6952016612,1423.46266492,228.35834787,209.855879082,18.6952016612,,,,0.90737,305.625,1356.78051758,185.226303101,708.004882812,126.119216919,1251.06481934,185.188339233,170.304016113,15.1609668732,1260.09094238,185.226303101,170.183670044,15.1609668732,1154.36413574,185.188339233,170.183670044,15.1609668732
