,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,,,,,,,,,,,,
1,,,,,,,,,,,,
2,Filter number,Flight,Filter number,Date,Start time (UTC),End time (UTC),Total flow (scm),Altitude (kft),Location,,,
3,B919_4,B919,4,2015-08-06 00:00:00,14:58:00,15:12:30,2,13.0 - 17.01,South of Santiago,,,"2 litres at 13020, 0 at 17024"
4,B920_2,B920,2,2015-08-07 00:00:00,15:25:00,15:46:10,306,0.1,North-East of Santiago,,,
5,B920_4,B920,4,2015-08-07 00:00:00,15:50:00,15:55:15,60,3.6,North-East of Santiago,,,
6,B920_6,B920,6,2015-08-07 00:00:00,15:59:00,16:14:50,171,7.1,North-East of Santiago,,,
7,B921_2,B921,2,2015-08-10 00:00:00,14:33:00,14:51:29,89,10,North-East of Santiago,,,
8,B921_4,B921,4,2015-08-10 00:00:00,14:55:00,15:02:00,34,10,North-East of Santiago,,,
9,B921_6,B921,6,2015-08-10 00:00:00,15:04:45,15:29:15,107,10,North-East of Santiago,,,
10,B922_2,B922,2,2015-08-11 00:00:00,16:46:50,16:56:45,99,6,South-East of Santiago,,,
11,B922_4,B922,4,2015-08-11 00:00:00,17:02:02,17:12:05,68,8,South-East of Santiago,,,
12,B924_4,B924,4,2015-08-12 00:00:00,16:09:30,16:14:30,63,3,Fuerteventura to Praia,,,
13,B924_6,B924,6,2015-08-12 00:00:00,16:17:40,16:22:40,62,3,Fuerteventura to Praia,,,
14,B924_8,B924,8,2015-08-12 00:00:00,16:25:25,16:29:25,50,3,Fuerteventura to Praia,,,
15,B925_2,B925,2,2015-08-13 00:00:00,15:03:10,15:28:10,111,10,South of Santiago,,,
16,B926_2,B926,2,2015-08-14 00:00:00,15:29:50,16:24:00,430,7.5 - 8.02,South-West of Praia,,,
17,B927_2,B927,2,2015-08-15 00:00:00,16:21:30,16:42:20,134,8.03,North of Santiago,,,profiling down into 8.02-8.05 kft (level at 16:23:30)
18,B928_2,B928,2,2015-08-16 00:00:00,15:13:18,15:38:00,397,0.1,West of Santiago,,,
19,B928_4,B928,4,2015-08-16 00:00:00,16:01:50,16:23:42,132,9,West of Santiago,,,
20,B928_6,B928,6,2015-08-16 00:00:00,16:55:10,17:18:08,89,10.8,West of Santiago,,,
21,B928_9,B928,9,2015-08-16 00:00:00,17:23:38,17:44:54,15,13.5,West of Santiago,,,
22,B929_1,B929,1,2015-08-17 00:00:00,16:06:55,16:36:53,98,8,South of Santiago,,,
23,B929_2,B929,2,2015-08-17 00:00:00,16:06:55,16:36:53,248,8,South of Santiago,,,
24,B931_2,B931,2,2015-08-19 00:00:00,16:42:03,16:51:21,108,0.1,South of Santiago,,,
25,B932_2,B932,2,2015-08-20 00:00:00,11:01:47,11:17:00,156,0.1,West-Coast of Africa,,,
26,B932_4,B932,4,2015-08-20 00:00:00,11:28:10,11:43:08,56,9,West-Coast of Africa,,,
27,B932_6,B932,6,2015-08-20 00:00:00,11:48:09,12:03:09,95,11.5,West-Coast of Africa,,,
28,,,,,,,,,,,,
29,,1 2 scm were collected during a 30 s exposure at 13.0 kft before ascending to 17.0 kft for a 6 minute 30 s exposure,,,,,,,,,,
30,,2 Altitude was varied during collection to stay within dust layer,,,,,,,,,,
31,,3 Filter was exposed during descent to 8.0 kft (altitude was constant at 8.0 kft from 16:23:30 onwards),,,,,,,,,,
