,INP,T
29,13.0782198356,-27.0
66,19.8445165671,-26.0
71,22.0488404589,-26.0
74,34.604439565,-26.0
87,7.28730631445,-26.0
103,20.1202249779,-26.0
104,21.4902926398,-26.0
114,7.8978469102,-26.0
124,7.87464674395,-25.0
128,8.42999550223,-25.0
129,12.2983224671,-25.0
132,17.7476703791,-25.0
134,3.38856052495,-25.0
139,15.659086413,-25.0
141,12.7249148956,-25.0
145,4.44965527798,-25.0
147,15.5030631273,-25.0
148,16.303077022,-25.0
154,25.1086066488,-25.0
155,18.5125696965,-25.0
158,12.581814973,-25.0
161,8.82894997395,-25.0
162,8.59299068011,-25.0
168,13.7386933922,-25.0
169,13.5973135777,-25.0
171,6.81301489598,-25.0
172,3.20139418583,-25.0
174,10.8414209414,-24.0
177,13.8823715316,-24.0
182,3.02584070302,-24.0
183,4.88256586411,-24.0
186,5.44864755378,-24.0
187,9.9740135745,-24.0
190,12.8351212274,-24.0
191,19.084613864,-24.0
192,1.68578875584,-24.0
197,7.58780505425,-24.0
199,6.0540651826,-24.0
200,23.3715353754,-24.0
201,14.1937950938,-24.0
202,6.41960048922,-24.0
203,2.26431022465,-24.0
205,8.02581546665,-24.0
206,8.41275640915,-24.0
211,8.92741173474,-24.0
212,15.6621076236,-24.0
213,11.3109231771,-24.0
216,8.44585511345,-24.0
217,7.30637770092,-24.0
219,2.89503391926,-24.0
220,3.41612758674,-24.0
222,28.6584835939,-24.0
223,22.4830030832,-24.0
226,10.3152199546,-24.0
227,7.73714692061,-24.0
229,2.43978224509,-24.0
230,0.964797098342,-24.0
231,6.60333822956,-24.0
232,7.17292008718,-23.0
235,4.75451027115,-23.0
240,1.02392130154,-23.0
241,3.09395201698,-23.0
244,2.6886446733,-23.0
245,7.37601693272,-23.0
248,6.74948725121,-23.0
249,7.46750086031,-23.0
250,1.18558011349,-23.0
254,20.4731582768,-23.0
255,4.06335475253,-23.0
257,4.59287715399,-23.0
258,15.2715121979,-23.0
