,Date,start,end,INP,T
0,16100513391439,1339,1439,,-25.0
1,16100710411241,1041,1241,,-25.0
2,16101310411442,1041,1442,,-25.0
3,16101410391219,1039,1219,,-25.0
4,16101711461249,1146,1249,,-25.0
5,16100513391439,1339,1439,,-24.0
6,16100710411241,1041,1241,,-24.0
7,16101310411442,1041,1442,,-24.0
8,16101410391219,1039,1219,,-24.0
9,16101711461249,1146,1249,,-24.0
10,16100513391439,1339,1439,,-23.0
11,16100710411241,1041,1241,22.5096659525,-23.0
12,16101310411442,1041,1442,12.3203080316,-23.0
13,16101410391219,1039,1219,,-23.0
14,16101711461249,1146,1249,28.8737377395,-23.0
15,16100513391439,1339,1439,28.5909302717,-22.0
16,16100710411241,1041,1241,8.07899333343,-22.0
17,16101310411442,1041,1442,7.65903191078,-22.0
18,16101410391219,1039,1219,24.0203879876,-22.0
19,16101711461249,1146,1249,13.3258933999,-22.0
20,16100513391439,1339,1439,14.1915281013,-21.0
21,16100710411241,1041,1241,4.4063583445,-21.0
22,16101310411442,1041,1442,2.7241042039,-21.0
23,16101410391219,1039,1219,9.03655430249,-21.0
24,16101711461249,1146,1249,6.4382960737,-21.0
25,16100513391439,1339,1439,6.36049157752,-20.0
26,16100710411241,1041,1241,2.48636154657,-20.0
27,16101310411442,1041,1442,0.339456846932,-20.0
28,16101410391219,1039,1219,6.16700251566,-20.0
29,16101711461249,1146,1249,4.67443376411,-20.0
30,16100513391439,1339,1439,2.53656017071,-19.0
31,16100710411241,1041,1241,0.739863925661,-19.0
32,16101310411442,1041,1442,0.28012100649,-19.0
33,16101410391219,1039,1219,5.20352026073,-19.0
34,16101711461249,1146,1249,2.49643246206,-19.0
35,16100513391439,1339,1439,1.43737509913,-18.0
36,16100710411241,1041,1241,0.448697821747,-18.0
37,16101310411442,1041,1442,0.21841373267,-18.0
38,16101410391219,1039,1219,3.81070026023,-18.0
39,16101711461249,1146,1249,2.38058873738,-18.0
40,16100513391439,1339,1439,0.663928337717,-17.0
41,16100710411241,1041,1241,0.411450711649,-17.0
42,16101310411442,1041,1442,0.119554002603,-17.0
43,16101410391219,1039,1219,2.09536219807,-17.0
44,16101711461249,1146,1249,2.26474501271,-17.0
45,16100513391439,1339,1439,,-16.0
46,16100710411241,1041,1241,0.374203601551,-16.0
47,16101310411442,1041,1442,,-16.0
48,16101410391219,1039,1219,0.883889483781,-16.0
49,16101711461249,1146,1249,2.14890128803,-16.0
50,16100513391439,1339,1439,,-15.0
51,16100710411241,1041,1241,0.336956491453,-15.0
52,16101310411442,1041,1442,,-15.0
53,16101410391219,1039,1219,0.624078336952,-15.0
54,16101711461249,1146,1249,1.61688863137,-15.0
