,Date,Start_t,end_t,INP,T
1,16092612001500,1200,1500,0.11001459609,-15
2,16092612111512,1211,1512,0.0961192165185,-15
3,16092611521452,1152,1452,0.404893504296,-15
4,16092710571426,1057,1426,0.163256850786,-15
5,16092812351535,1235,1535,0.124849199178,-15
6,16092813341540,1334,1540,3.29577463209,-15
8,16093011201355,1120,1355,0.0341888682623,-15
9,16093014211621,1421,1621,0.0484483180067,-15
10,16100313351636,1335,1636,0.143097011611,-15
11,16100310261327,1026,1327,0.0927264661309,-15
12,16100310321335,1032,1335,0.198679297765,-15
13,16100313471623,1347,1623,1.19877681005,-15
15,16100410331320,1033,1320,0.266731875657,-15
16,16100511161559,1116,1559,0.0713876583658,-15
17,16100513391439,1339,1439,1.18083348191,-15
19,16100614241654,1424,1654,0.140356061319,-15
20,16100611401410,1140,1410,0.0496090170477,-15
21,16100614241654,1424,1654,0.168785386562,-15
22,16100611391413,1139,1413,0.0492219612417,-15
23,16100614201658,1420,1658,0.0467911251997,-15
25,16100713021502,1302,1502,0.360633168083,-15
26,16100711211306,1121,1306,0.350915431417,-15
27,16100710411241,1041,1241,0.222235392351,-15
28,16101012391339,1239,1339,0.483125614554,-15
29,16101013501636,1350,1636,0.126827766252,-15
30,16101011291636,1129,1636,0.0715925300286,-15
33,16101110401403,1040,1403,0.138692534538,-15
34,16101110401403,1040,1403,0.0995207257021,-15
35,16101114101624,1410,1624,0.269841863434,-15
36,16101114101624,1410,1624,0.419965213771,-15
41,16101310391442,1039,1442,0.294729367447,-15
42,16101310411442,1041,1442,0.22438202488,-15
45,16101711461449,1146,1449,0.290147234692,-15
48,16101814151610,1415,1610,0.187023699956,-15
49,16101810451352,1045,1352,0.161840408522,-15
50,16101814001615,1400,1615,0.357272268107,-15
52,16102011451335,1145,1335,0.208995620225,-15
54,16102013451600,1345,1600,0.225047182083,-15
56,16102114421636,1442,1636,0.180870940375,-15
57,16102114421636,1442,1636,3.84786772345,-15
59,16102111421636,1142,1636,2.01807458494,-15
60,16102412051537,1205,1537,0.191441568831,-15
64,16102711491558,1149,1558,2.32029164216,-15
68,16103110171730,1017,1730,0.0556525440625,-15
69,16110111101410,1110,1410,0.168785386562,-15
71,16110210291529,1029,1529,0.0579724757062,-15
