,Date,Start_t,end_t,INP
5,16092812351535,1235,1535,21.1481249432
11,16100310261327,1026,1327,7.66401651233
12,16100310321335,1032,1335,7.16235016311
15,16100410331320,1033,1320,12.2983224671
19,16100614241654,1424,1654,0.0
20,16100611401410,1140,1410,3.38856052495
25,16100713021502,1302,1502,15.6590864131
28,16101012391339,1239,1339,58.8027636519
30,16101011291636,1129,1636,11.1260672659
33,16101110401403,1040,1403,15.5030631273
34,16101110401403,1040,1403,4.44965527798
35,16101114101624,1410,1624,0.0
36,16101114101624,1410,1624,16.303077022
48,16101814151610,1415,1610,18.5125696965
52,16102011451335,1145,1335,8.82894997395
54,16102013451600,1345,1600,8.59299068011
56,16102114421636,1442,1636,0.0
57,16102114421636,1442,1636,0.0
69,16110111101410,1110,1410,3.20139418584
71,16110210291529,1029,1529,0.0
