,Date,start,end,INP,T,,,,,,,,,,,,,,
0,1.60926E+13,1200,1500,,-25,,,,,,,,,,,,,,
1,1.60926E+13,1211,1512,,-25,,,,,,,,,,,,,,
2,1.60926E+13,1152,1452,,-25,,,,,,,,,,,,,,
3,1.60927E+13,1057,1426,,-25,,,,,,,,,,,,,,
4,1.60928E+13,1235,1535,21.14812494,-25,,,,,,,,,,,,,,
5,1.60928E+13,1334,1540,,-25,,,,,,,,,,,,,,
6,1.6093E+13,1421,1621,,-25,,,,,,,,,,,,,,
7,1.6093E+13,1120,1355,,-25,,,,,,,,,,,,,,
8,1.61003E+13,1335,1636,,-25,,,,,,,,,,,,,,
9,1.61003E+13,1026,1327,7.874646744,-25,,,,,,,,,,,,,,
10,1.61003E+13,1347,1623,,-25,,,,,,,,,,,,,,
11,1.61003E+13,1032,1335,7.162350163,-25,,,,,,,,,,,,,,
12,1.61004E+13,1033,1320,12.29832247,-25,,,,,,,,,,,,,,
13,1.61005E+13,1116,1559,,-25,,,,,,,,,,,,,,
14,1.61005E+13,1339,1439,,-25,,,,,,,,,,,,,,
15,1.61006E+13,1424,1654,,-25,,,,,,,,,,,,,,
16,1.61006E+13,1140,1410,3.388560525,-25,,,,,,,,,,,,,,
17,1.61006E+13,1424,1654,,-25,,,,,,,,,,,,,,
18,1.61006E+13,1139,1413,,-25,,,,,,,,,,,,,,
19,1.61006E+13,1420,1658,,-25,,,,,,,,,,,,,,
20,1.61007E+13,1302,1502,15.65908641,-25,,,,,,,,,,,,,,
21,1.61007E+13,1121,1306,,-25,,,,,,,,,,,,,,
22,1.61007E+13,1041,1241,,-25,,,,,,,,,,,,,,
23,1.6101E+13,1239,1339,58.80276365,-25,,,,,,,,,,,,,,
24,1.6101E+13,1350,1636,,-25,,,,,,,,,,,,,,
25,1.6101E+13,1129,1636,11.12606727,-25,,,,,,,,,,,,,,
26,1.61011E+13,1040,1403,15.50306313,-25,,,,,,,,,,,,,,
27,1.61011E+13,1040,1403,4.449655278,-25,,,,,,,,,,,,,,
28,1.61011E+13,1410,1624,,-25,,,,,,,,,,,,,,
29,1.61011E+13,1410,1624,16.30307702,-25,,,,,,,,,,,,,,
30,1.61013E+13,1039,1442,,-25,,,,,,,,,,,,,,
31,1.61013E+13,1041,1442,,-25,,,,,,,,,,,,,,
32,1.61017E+13,1146,1449,,-25,,,,,,,,,,,,,,
33,1.61018E+13,1415,1610,18.5125697,-25,,,,,,,,,,,,,,
34,1.61018E+13,1045,1352,,-25,,,,,,,,,,,,,,
