,Date,start,end,INP,T,INP_plus,INP_minus
0,16092612001500,1200,1500,,-27.0,,
1,16092612111512,1211,1512,,-27.0,,
2,16092710571426,1057,1426,,-27.0,,
3,16092812351535,1235,1535,,-27.0,,
4,16092813341540,1334,1540,,-27.0,,
5,16093010191319,1019,1319,,-27.0,,
6,16093011201355,1120,1355,,-27.0,,
7,16093014211621,1421,1621,,-27.0,,
8,16100310261327,1026,1327,,-27.0,,
9,16100310201359,1020,1359,,-27.0,,
10,16100310321335,1032,1335,,-27.0,,
11,16100313351636,1335,1636,,-27.0,,
12,16100313471623,1347,1623,,-27.0,,
13,16100410331320,1033,1320,,-27.0,,
14,16100511161218,1116,1218,,-27.0,,
15,16100513391439,1339,1439,,-27.0,,
16,16100511161559,1116,1559,,-27.0,,
17,16100614241654,1424,1654,,-27.0,,
18,16100611401410,1140,1410,,-27.0,,
19,16100614241654,1424,1654,,-27.0,,
20,16100611391413,1139,1413,,-27.0,,
21,16100614201658,1420,1658,,-27.0,,
22,16100710411241,1041,1241,,-27.0,,
23,16100713021502,1302,1502,,-27.0,,
24,16100713021502,1302,1502,,-27.0,,
25,16100711211306,1121,1306,,-27.0,,
26,16101012391339,1239,1339,,-27.0,,
27,16101013501636,1350,1636,,-27.0,,
28,16101011291636,1129,1636,,-27.0,,
29,16101110401403,1040,1403,13.0782198356,-27.0,15.2448077231,11.1008733275
30,16101114101624,1410,1624,,-27.0,,
31,16101110401403,1040,1403,,-27.0,,
32,16101114101624,1410,1624,,-27.0,,
33,16101310391442,1039,1442,,-27.0,,
34,16101310411442,1041,1442,,-27.0,,
35,16101410391219,1039,1219,,-27.0,,
36,16101407301031,0730,1031,,-27.0,,
37,16101711461449,1146,1449,,-27.0,,
38,16101715101711,1510,1711,,-27.0,,
39,16101810551415,1055,1415,,-27.0,,
40,16101810551610,1055,1610,,-27.0,,
41,16101814151610,1415,1610,,-27.0,,
42,16101810451352,1045,1352,,-27.0,,
43,16101814001615,1400,1615,,-27.0,,
44,16101910041304,1004,1304,,-27.0,,
45,16101913201621,1320,1621,,-27.0,,
46,16102011451335,1145,1335,,-27.0,nan,nan
47,16102013451600,1345,1600,,-27.0,nan,nan
48,16102114421636,1442,1636,,-27.0,,
49,16102111421636,1142,1636,,-27.0,,
50,16102114421636,1442,1636,,-27.0,,
51,16102412051537,1205,1537,,-27.0,,
52,16102711491558,1149,1558,,-27.0,,
53,16102711491558,1149,1558,,-27.0,,
