,T,inp_air
0,-12.74,85.5819645018
1,-15.19,172.331051931
2,-15.64,266.028120892
3,-15.94,363.358551982
4,-16.88,460.370335581
5,-16.99,565.447378765
6,-17.16,674.070918446
7,-17.47,785.852818362
8,-17.57,903.799201694
9,-17.7,1026.51545211
10,-17.83,1154.68350415
11,-17.97,1288.71897873
12,-18.41,1426.14759248
13,-18.53,1573.99938894
14,-18.7,1729.25161624
15,-19.05,1890.93843003
16,-19.38,2062.4048878
17,-19.62,2246.20419234
18,-19.65,2446.38203223
19,-19.74,2660.37176706
20,-19.93,2889.69061829
21,-20.28,3135.64913259
22,-20.42,3409.77508655
23,-20.64,3711.02071798
24,-21.26,4036.42186098
25,-21.26,4424.85363661
26,-21.39,4869.13824739
27,-21.72,5388.10575496
28,-21.78,6034.99072825
29,-22.2,6854.85970847
30,-23.23,7979.95164655
31,-23.45,9981.77958402
