Site,Minutes of Data Used (Max 1440),Last Minute of Data Series, , , , , , , , , , , , , , , ,
Bramham,1440,26-Sep-2016 08:50:00, , , , , , , , , , , , , , , ,
Daily Summary Data, , , , , , , , , , , , , , , , , ,
Date,Time,Dry Bulb Max 09-21,Dry Bulb Min 09-21,Rainfall Total 09-21,Dry Bulb Max 21-09,Dry Bulb Min 21-09,Rainfall Total 21-09,Dry Bulb Max 09-09,Dry Bulb Min 09-09,Rainfall Total 09-09,Grass Min 18-09,Concrete Min 18-09,10cm Soil,30cm Soil,100cm Soil,Radiation Total Previous Day 00-24,Sunshine Total Previous Day 00-24,
26/9/2016,900,17.11,10.95,0.40,11.15,6.28,0.0,17.11,6.28,0.4,3.47,6.30,11.30, , ,9679.4, ,
Hourly Summary Data, , , , , , , , , , , , , , , , , ,
Date,Time,Battery Voltage,Logger Temperature,Dry Bulb Temperature,Dew Point Temperature,Grass Temperature,Concrete Temperature,10cm Soil Temperature,30cm Soil Temperature,100cm Soil Temperature,Rainfall Total since 0900,Radiation Total since 0900,Sunshine total since 0900,Humidity, , , ,
25/9/2016,1000, , ,14.75,11.18,16.92,17.92,14.78, , ,0.0,667.9, ,79, , , ,
25/9/2016,1100, , ,15.41,10.51,18.62,20.89,15.26, , ,0.0,1977.7, ,72.6, , , ,
25/9/2016,1200, , ,15.14,9.67,16.83,19.15,15.73, , ,0.0,3151.6, ,69.8, , , ,
25/9/2016,1300, , ,15.85,9.75,17.95,21.52,16.23, , ,0.0,4797.4, ,67.1, , , ,
25/9/2016,1400, , ,16.67,10.33,22.27,24.77,16.41, , ,0.0,6006.4, ,66.2, , , ,
25/9/2016,1500, , ,16.49,6.82,19.49,22.71,16.82, , ,0.0,7636.4, ,52.7, , , ,
25/9/2016,1600, , ,16.09,7.91,19.95,20.51,16.61, , ,0.0,8477.0, ,58.3, , , ,
25/9/2016,1700, , ,14.02,8.68,13.42,16.14,16.14, , ,0.2,8820.8, ,70.2, , , ,
25/9/2016,1800, , ,12.92,8.11,9.83,13.04,15.42, , ,0.4,8957.3, ,72.6, , , ,
25/9/2016,1900, , ,12.68,8.30,9.91,11.36,14.61, , ,0.4,8953.3, ,74.7, , , ,
25/9/2016,2000, , ,11.57,7.74,9.12,10.23,13.92, , ,0.4,8946.3, ,77.3, , , ,
25/9/2016,2100, , ,10.95,7.51,8.31,9.46,13.37, , ,0.4,8938.8, ,79.3, , , ,
25/9/2016,2200, , ,10.43,7.66,8.21,8.94,12.89, , ,0.4,8930.5, ,82.9, , , ,
25/9/2016,2300, , ,9.99,7.53,8.00,8.58,12.50, , ,0.4,8922.7, ,84.6, , , ,
26/9/2016,0000, , ,9.80,7.73,7.39,8.11,12.15, , ,0.4,8914.3, ,86.9, , , ,
26/9/2016,0100, , ,9.09,7.25,6.64,7.55,11.83, , ,0.4,8906.0, ,88.2, , , ,
26/9/2016,0200, , ,6.79,5.91,4.35,6.69,11.50, , ,0.4,8896.5, ,94.1, , , ,
26/9/2016,0300, , ,6.52,6.17,3.78,6.49,11.17, , ,0.4,8889.0, ,97.6, , , ,
26/9/2016,0400, , ,6.42,6.20,4.80,6.56,10.91, , ,0.4,8882.2, ,98.5, , , ,
26/9/2016,0500, , ,8.80,8.41,7.74,7.88,10.75, , ,0.4,8877.8, ,97.4, , , ,
26/9/2016,0600, , ,7.71,7.22,6.63,7.59,10.76, , ,0.4,8873.7, ,96.7, , , ,
26/9/2016,0700, , ,8.04,7.80,7.58,8.26,10.75, , ,0.4,8907.4, ,98.4, , , ,
26/9/2016,0800, , ,9.79,9.37,10.35,10.31,10.88, , ,0.4,9105.4, ,97.3, , , ,
26/9/2016,0900, , ,11.14,10.03,11.60,12.09,11.30, , ,0.4,9414.1, ,92.9, , , ,
