Site,Minutes of Data Used (Max 1440),Last Minute of Data Series, , , , , , , , , , , , , , , 
Bramham,1440,27/09/2016 08:50, , , , , , , , , , , , , , , 
Daily Summary Data, , , , , , , , , , , , , , , , , 
Date,Time,Dry Bulb Max 09-21,Dry Bulb Min 09-21,Rainfall Total 09-21,Dry Bulb Max 21-09,Dry Bulb Min 21-09,Rainfall Total 21-09,Dry Bulb Max 09-09,Dry Bulb Min 09-09,Rainfall Total 09-09,Grass Min 18-09,Concrete Min 18-09,10cm Soil,30cm Soil,100cm Soil,Radiation Total Previous Day 00-24,Sunshine Total Previous Day 00-24
27/09/2016,900,14.11,11.16,2,14.78,11.12,0.6,14.78,11.12,2.6,10.01,10.27,12.98, , ,4568.7, 
Hourly Summary Data, , , , , , , , , , , , , , , , , 
Date,Time,Battery Voltage,Logger Temperature,Dry Bulb Temperature,Dew Point Temperature,Grass Temperature,Concrete Temperature,10cm Soil Temperature,30cm Soil Temperature,100cm Soil Temperature,Rainfall Total since 0900,Radiation Total since 0900,Sunshine total since 0900,Humidity, , , 
26/09/2016,1000, , ,11.99,10.37,13.26,14.08,11.88, , ,0,503.5, ,90, , , 
26/09/2016,1100, , ,12.54,10.86,13.88,14.92,12.53, , ,0,1196.2, ,89.5, , , 
26/09/2016,1200, , ,12.8,11.39,13.94,15.38,13.13, , ,0.2,1914.1, ,91.1, , , 
26/09/2016,1300, , ,12.91,12.19,13.78,15.2,13.5, , ,0.6,2454.3, ,95.4, , , 
26/09/2016,1400, , ,13.69,12.46,14.49,15.88,13.77, , ,0.8,3076.7, ,92.3, , , 
26/09/2016,1500, , ,13.31,12.21,13.17,14.38,13.99, , ,1,3461, ,93.1, , , 
26/09/2016,1600, , ,13.78,12.38,13.85,15.01,14.11, , ,1.2,3960.9, ,91.3, , , 
26/09/2016,1700, , ,13.46,12.23,12.92,13.76,14.06, , ,1.8,4063.3, ,92.3, , , 
26/09/2016,1800, , ,13.27,12.34,12.62,13.17,13.87, , ,1.8,4085.5, ,94.1, , , 
26/09/2016,1900, , ,13.1,12.42,12.32,12.6,13.67, , ,1.8,4083, ,95.7, , , 
26/09/2016,2000, , ,12.94,12.42,12.48,12.75,13.5, , ,2,4080.4, ,96.7, , , 
26/09/2016,2100, , ,12.96,12.37,12.28,12.52,13.43, , ,2,4077.7, ,96.2, , , 
26/09/2016,2200, , ,12.92,12.44,12.35,12.55,13.35, , ,2.2,4075, ,96.9, , , 
26/09/2016,2300, , ,13,12.46,12.41,12.58,13.3, , ,2.4,4071.9, ,96.5, , , 
27/09/2016,0, , ,12.53,12.02,11.78,12.15,13.25, , ,2.6,4068.9, ,96.7, , , 
27/09/2016,100, , ,12.07,11.32,11.31,11.62,13.08, , ,2.6,4064.3, ,95.1, , , 
27/09/2016,200, , ,12.21,11.13,11.32,11.51,12.92, , ,2.6,4060.5, ,93.1, , , 
27/09/2016,300, , ,11.86,11.03,10.99,11.22,12.81, , ,2.6,4057.6, ,94.7, , , 
27/09/2016,400, , ,11.19,10.49,10.05,10.3,12.63, , ,2.6,4052.7, ,95.4, , , 
27/09/2016,500, , ,11.34,10.46,10.67,10.83,12.43, , ,2.6,4049.5, ,94.3, , , 
27/09/2016,600, , ,12.1,10.58,11.31,11.28,12.38, , ,2.6,4048.5, ,90.4, , , 
27/09/2016,700, , ,12.96,11.13,12.25,12.03,12.4, , ,2.6,4086.5, ,88.6, , , 
27/09/2016,800, , ,14,12.16,14.02,13.85,12.6, , ,2.6,4280.6, ,88.7, , , 
27/09/2016,900, , ,14.78,12.88,15.74,15.92,12.98, , ,2.6,4628.6, ,88.3, , , 
