Site,Minutes of Data Used (Max 1440),Last Minute of Data Series, , , , , , , , , , , , , , , ,
Bramham,1440,20-Oct-2016 08:50:00, , , , , , , , , , , , , , , ,
Daily Summary Data, , , , , , , , , , , , , , , , , ,
Date,Time,Dry Bulb Max 09-21,Dry Bulb Min 09-21,Rainfall Total 09-21,Dry Bulb Max 21-09,Dry Bulb Min 21-09,Rainfall Total 21-09,Dry Bulb Max 09-09,Dry Bulb Min 09-09,Rainfall Total 09-09,Grass Min 18-09,Concrete Min 18-09,10cm Soil,30cm Soil,100cm Soil,Radiation Total Previous Day 00-24,Sunshine Total Previous Day 00-24,
20/10/2016,900,13.00,8.19,0.20,10.50,8.53,0.4,13.00,8.19,0.6,5.49,6.91,9.93, , ,5880.0, ,
Hourly Summary Data, , , , , , , , , , , , , , , , , ,
Date,Time,Battery Voltage,Logger Temperature,Dry Bulb Temperature,Dew Point Temperature,Grass Temperature,Concrete Temperature,10cm Soil Temperature,30cm Soil Temperature,100cm Soil Temperature,Rainfall Total since 0900,Radiation Total since 0900,Sunshine total since 0900,Humidity, , , ,
19/10/2016,1000, , ,10.80,6.95,13.67,13.94,9.53, , ,0.0,686.7, ,77, , , ,
19/10/2016,1100, , ,11.76,7.43,14.69,15.70,10.23, , ,0.0,1902.4, ,74.8, , , ,
19/10/2016,1200, , ,11.90,8.02,14.37,15.53,10.83, , ,0.0,2693.8, ,77.1, , , ,
19/10/2016,1300, , ,12.05,7.37,14.13,16.55,11.33, , ,0.0,3810.6, ,73.0, , , ,
19/10/2016,1400, , ,11.95,7.68,13.90,16.36,11.87, , ,0.0,4773.7, ,75.1, , , ,
19/10/2016,1500, , ,11.64,7.85,12.81,14.59,11.88, , ,0.0,5157.9, ,77.5, , , ,
19/10/2016,1600, , ,10.18,8.75,9.63,11.78,11.69, , ,0.2,5395.1, ,90.8, , , ,
19/10/2016,1700, , ,10.29,8.19,9.12,10.56,11.36, , ,0.2,5464.2, ,86.8, , , ,
19/10/2016,1800, , ,9.86,7.60,8.59,9.55,11.00, , ,0.2,5463.1, ,85.8, , , ,
19/10/2016,1900, , ,9.72,7.55,8.25,9.04,10.67, , ,0.2,5460.3, ,86.3, , , ,
19/10/2016,2000, , ,9.01,6.89,6.62,7.65,10.34, , ,0.2,5454.8, ,86.6, , , ,
19/10/2016,2100, , ,8.42,6.76,6.56,7.10,9.91, , ,0.2,5447.1, ,89.3, , , ,
19/10/2016,2200, , ,9.81,7.72,8.60,8.46,9.68, , ,0.2,5443.1, ,86.8, , , ,
19/10/2016,2300, , ,9.67,8.18,8.80,8.80,9.69, , ,0.2,5439.3, ,90.4, , , ,
20/10/2016,0000, , ,9.30,8.24,8.04,8.34,9.73, , ,0.6,5435.1, ,93.0, , , ,
20/10/2016,0100, , ,9.45,8.55,8.61,8.63,9.67, , ,0.6,5431.6, ,94.1, , , ,
20/10/2016,0200, , ,9.54,8.78,8.81,8.80,9.65, , ,0.6,5430.1, ,95.1, , , ,
20/10/2016,0300, , ,9.64,8.86,8.88,8.84,9.65, , ,0.6,5428.3, ,94.9, , , ,
20/10/2016,0400, , ,9.45,8.98,8.79,8.67,9.63, , ,0.6,5425.5, ,96.9, , , ,
20/10/2016,0500, , ,9.55,9.15,8.91,8.90,9.64, , ,0.6,5423.8, ,97.3, , , ,
20/10/2016,0600, , ,9.54,9.16,8.90,8.96,9.69, , ,0.6,5422.3, ,97.5, , , ,
20/10/2016,0700, , ,9.37,9.03,8.69,8.72,9.68, , ,0.6,5423.2, ,97.7, , , ,
20/10/2016,0800, , ,9.95,9.53,10.61,10.05,9.67, , ,0.6,5625.8, ,97.2, , , ,
20/10/2016,0900, , ,10.50,9.70,12.78,10.72,9.93, , ,0.6,6208.7, ,94.7, , , ,
