SRC_NAME,GEOG_AREA_NAME,OB_END_TIME,MEAN_WIND_DIR,MEAN_WIND_SPEED,MAX_GUST_DIR,MAX_GUST_SPEED,MAX_GUST_CTIME
BRAMHAM,WEST YORKSHIRE,01/09/2016,240,4,240,6,2311
BRAMHAM,WEST YORKSHIRE,01/09/2016 01:00:00,210,3,220,6,24
BRAMHAM,WEST YORKSHIRE,01/09/2016 02:00:00,200,3,200,5,50
BRAMHAM,WEST YORKSHIRE,01/09/2016 03:00:00,220,4,220,6,221
BRAMHAM,WEST YORKSHIRE,01/09/2016 04:00:00,230,3,220,5,346
BRAMHAM,WEST YORKSHIRE,01/09/2016 05:00:00,220,4,220,7,448
BRAMHAM,WEST YORKSHIRE,01/09/2016 06:00:00,220,4,230,7,452
BRAMHAM,WEST YORKSHIRE,01/09/2016 07:00:00,210,5,220,7,644
BRAMHAM,WEST YORKSHIRE,01/09/2016 08:00:00,220,4,230,10,741
BRAMHAM,WEST YORKSHIRE,01/09/2016 09:00:00,230,6,220,12,846
BRAMHAM,WEST YORKSHIRE,01/09/2016 10:00:00,230,9,220,16,944
BRAMHAM,WEST YORKSHIRE,01/09/2016 11:00:00,230,8,230,15,1049
BRAMHAM,WEST YORKSHIRE,01/09/2016 12:00:00,230,9,230,16,1054
BRAMHAM,WEST YORKSHIRE,01/09/2016 13:00:00,220,11,200,19,1245
BRAMHAM,WEST YORKSHIRE,01/09/2016 14:00:00,220,11,200,19,1317
BRAMHAM,WEST YORKSHIRE,01/09/2016 15:00:00,220,10,240,19,1351
BRAMHAM,WEST YORKSHIRE,01/09/2016 16:00:00,210,10,190,17,1542
BRAMHAM,WEST YORKSHIRE,01/09/2016 17:00:00,200,11,210,18,1550
BRAMHAM,WEST YORKSHIRE,01/09/2016 18:00:00,210,8,230,14,1700
BRAMHAM,WEST YORKSHIRE,01/09/2016 19:00:00,210,6,200,11,1751
BRAMHAM,WEST YORKSHIRE,01/09/2016 20:00:00,180,5,190,10,1943
BRAMHAM,WEST YORKSHIRE,01/09/2016 21:00:00,200,6,220,14,2038
BRAMHAM,WEST YORKSHIRE,01/09/2016 22:00:00,220,9,220,18,2122
BRAMHAM,WEST YORKSHIRE,01/09/2016 23:00:00,220,10,220,16,2207
BRAMHAM,WEST YORKSHIRE,02/09/2016,220,10,230,18,2348
BRAMHAM,WEST YORKSHIRE,02/09/2016 01:00:00,220,11,210,18,42
BRAMHAM,WEST YORKSHIRE,02/09/2016 02:00:00,210,9,200,17,140
BRAMHAM,WEST YORKSHIRE,02/09/2016 03:00:00,200,10,210,15,154
BRAMHAM,WEST YORKSHIRE,02/09/2016 04:00:00,180,8,190,13,254
BRAMHAM,WEST YORKSHIRE,02/09/2016 05:00:00,190,9,210,17,443
BRAMHAM,WEST YORKSHIRE,02/09/2016 06:00:00,200,10,200,15,455
BRAMHAM,WEST YORKSHIRE,02/09/2016 07:00:00,210,8,220,17,632
BRAMHAM,WEST YORKSHIRE,02/09/2016 08:00:00,230,6,230,12,652
BRAMHAM,WEST YORKSHIRE,02/09/2016 09:00:00,200,6,240,11,845
BRAMHAM,WEST YORKSHIRE,02/09/2016 10:00:00,230,9,230,16,902
BRAMHAM,WEST YORKSHIRE,02/09/2016 11:00:00,230,8,250,15,1048
BRAMHAM,WEST YORKSHIRE,02/09/2016 12:00:00,250,9,260,16,1140
BRAMHAM,WEST YORKSHIRE,02/09/2016 13:00:00,250,11,260,20,1155
BRAMHAM,WEST YORKSHIRE,02/09/2016 14:00:00,250,8,260,16,1328
BRAMHAM,WEST YORKSHIRE,02/09/2016 15:00:00,250,9,260,18,1443
BRAMHAM,WEST YORKSHIRE,02/09/2016 16:00:00,240,11,260,19,1548
BRAMHAM,WEST YORKSHIRE,02/09/2016 17:00:00,250,10,260,18,1550
BRAMHAM,WEST YORKSHIRE,02/09/2016 18:00:00,250,8,240,14,1704
BRAMHAM,WEST YORKSHIRE,02/09/2016 19:00:00,260,8,250,16,1819
BRAMHAM,WEST YORKSHIRE,02/09/2016 20:00:00,240,7,240,12,1946
BRAMHAM,WEST YORKSHIRE,02/09/2016 21:00:00,240,6,230,9,2001
BRAMHAM,WEST YORKSHIRE,02/09/2016 22:00:00,230,5,240,10,2103
BRAMHAM,WEST YORKSHIRE,02/09/2016 23:00:00,220,3,250,6,2156
BRAMHAM,WEST YORKSHIRE,03/09/2016,220,5,230,9,2314
BRAMHAM,WEST YORKSHIRE,03/09/2016 01:00:00,210,5,220,10,47
BRAMHAM,WEST YORKSHIRE,03/09/2016 02:00:00,220,7,230,10,116
BRAMHAM,WEST YORKSHIRE,03/09/2016 03:00:00,230,7,220,11,229
BRAMHAM,WEST YORKSHIRE,03/09/2016 04:00:00,220,7,220,11,322
BRAMHAM,WEST YORKSHIRE,03/09/2016 05:00:00,220,6,220,10,350
BRAMHAM,WEST YORKSHIRE,03/09/2016 06:00:00,210,4,200,7,542
BRAMHAM,WEST YORKSHIRE,03/09/2016 07:00:00,200,4,210,8,646
BRAMHAM,WEST YORKSHIRE,03/09/2016 08:00:00,200,5,200,9,725
BRAMHAM,WEST YORKSHIRE,03/09/2016 09:00:00,200,6,190,11,816
BRAMHAM,WEST YORKSHIRE,03/09/2016 10:00:00,200,6,210,11,910
BRAMHAM,WEST YORKSHIRE,03/09/2016 11:00:00,180,5,190,9,959
BRAMHAM,WEST YORKSHIRE,03/09/2016 12:00:00,170,6,180,10,1140
BRAMHAM,WEST YORKSHIRE,03/09/2016 13:00:00,160,9,150,14,1226
BRAMHAM,WEST YORKSHIRE,03/09/2016 14:00:00,140,6,150,11,1258
BRAMHAM,WEST YORKSHIRE,03/09/2016 15:00:00,110,8,110,15,1435
BRAMHAM,WEST YORKSHIRE,03/09/2016 16:00:00,100,9,100,15,1540
BRAMHAM,WEST YORKSHIRE,03/09/2016 17:00:00,110,10,90,16,1552
BRAMHAM,WEST YORKSHIRE,03/09/2016 18:00:00,130,7,130,11,1716
BRAMHAM,WEST YORKSHIRE,03/09/2016 19:00:00,170,5,180,11,1845
BRAMHAM,WEST YORKSHIRE,03/09/2016 20:00:00,190,10,210,17,1933
