,Date,Time,Battery Voltage,Logger Temperature,Dry Bulb Temperature,Dew Point Temperature,Grass Temperature,Concrete Temperature,10cm Soil Temperature,30cm Soil Temperature,100cm Soil Temperature,Rainfall Total since 0900,Radiation Total since 0900,Sunshine total since 0900,Humidity, 
0,31/8/2016,1000, , ,19.83,13.59,29.26,30.13,17.43, , ,0.0,1815.8, ,67.0, 
1,31/8/2016,1100, , ,19.75,14.45,27.32,29.05,18.68, , ,0.0,3179.0, ,71.5, 
2,31/8/2016,1200, , ,20.43,15.19,28.93,31.58,19.34, , ,0.0,4630.1, ,71.9, 
3,31/8/2016,1300, , ,20.27,13.09,27.36,32.22,20.61, , ,0.0,6990.1, ,63.4, 
4,31/8/2016,1400, , ,20.74,10.56,27.4,32.53,21.61, , ,0.0,9306.8, ,52.1, 
5,31/8/2016,1500, , ,19.23,11.29,21.98,27.77,22.35, , ,0.0,11182.0, ,60.0, 
6,31/8/2016,1600, , ,19.36,11.84,25.48,28.7,22.03, , ,0.0,12513.2, ,61.7, 
7,31/8/2016,1700, , ,18.89,11.21,22.33,25.46,21.72, , ,0.0,13430.4, ,61.0, 
8,31/8/2016,1800, , ,17.13,11.36,16.26,20.28,20.97, , ,0.0,13826.2, ,68.8, 
9,31/8/2016,1900, , ,16.56,11.49,15.35,18.27,19.98, , ,0.0,13904.1, ,72.0, 
10,31/8/2016,2000, , ,15.92,11.74,14.17,16.65,19.08, , ,0.0,13899.5, ,76.2, 
11,31/8/2016,2100, , ,15.22,11.92,13.81,15.99,18.37, , ,0.0,13892.7, ,80.7, 
12,31/8/2016,2200, , ,14.16,11.75,12.35,15.2,17.84, , ,0.0,13885.9, ,85.4, 
13,31/8/2016,2300, , ,13.8,11.92,11.89,14.92,17.42, , ,0.0,13879.8, ,88.4, 
14,1/9/2016,0000, , ,14.15,12.16,12.82,14.97,17.1, , ,0.0,13875.6, ,87.8, 
15,1/9/2016,0100, , ,13.71,12.09,12.42,14.54,16.84, , ,0.0,13870.6, ,89.9, 
16,1/9/2016,0200, , ,12.13,11.22,7.67,11.86,16.42, , ,0.0,13861.5, ,94.1, 
17,1/9/2016,0300, , ,12.31,11.47,9.17,11.86,15.9, , ,0.0,13854.4, ,94.6, 
18,1/9/2016,0400, , ,11.75,11.28,10.26,11.98,15.51, , ,0.0,13847.4, ,96.9, 
19,1/9/2016,0500, , ,11.88,11.16,10.22,11.63,15.23, , ,0.0,13841.2, ,95.4, 
20,1/9/2016,0600, , ,12.5,11.81,12.03,12.94,14.93, , ,0.0,13885.7, ,95.6, 
21,1/9/2016,0700, , ,13.41,11.83,13.15,14.77,15.06, , ,0.0,14138.5, ,90.1, 
22,1/9/2016,0800, , ,14.68,11.86,18.41,18.3,15.37, , ,0.0,14810.9, ,83.2, 
23,1/9/2016,0900, , ,16.31,10.83,21.33,24.53,16.05, , ,0.0,16144.8, ,70.0, 
0,1/9/2016,1000, , ,17.08,9.49,25.15,26.77,16.97, , ,0.0,1494.9, ,61.0, 
1,1/9/2016,1100, , ,18.17,10.66,27.63,29.8,17.77, , ,0.0,2812.4, ,61.5, 
2,1/9/2016,1200, , ,17.84,9.62,23.17,26.42,18.7, , ,0.0,4352.9, ,58.6, 
3,1/9/2016,1300, , ,19.49,10.44,28.54,32.38,19.68, , ,0.0,6485.9, ,55.8, 
4,1/9/2016,1400, , ,20.04,9.09,28.42,32.75,21.14, , ,0.0,8946.0, ,49.2, 
5,1/9/2016,1500, , ,19.82,10.08,24.56,27.58,21.4, , ,0.0,9990.0, ,53.4, 
6,1/9/2016,1600, , ,19.0,9.54,20.43,24.04,20.95, , ,0.0,10825.3, ,54.2, 
7,1/9/2016,1700, , ,18.75,10.21,18.85,21.85,20.39, , ,0.0,11300.4, ,57.5, 
8,1/9/2016,1800, , ,18.33,10.94,17.62,20.08,19.8, , ,0.0,11519.4, ,62.0, 
9,1/9/2016,1900, , ,17.25,10.85,15.68,18.28,19.21, , ,0.0,11580.8, ,66.0, 
10,1/9/2016,2000, , ,16.7,10.83,14.86,16.89,18.61, , ,0.0,11579.9, ,68.2, 
11,1/9/2016,2100, , ,16.97,10.92,15.69,16.83,18.05, , ,0.0,11574.7, ,67.5, 
12,1/9/2016,2200, , ,16.72,10.96,15.93,16.75,17.67, , ,0.0,11571.1, ,68.8, 
13,1/9/2016,2300, , ,16.27,11.06,14.97,15.85,17.34, , ,0.0,11566.7, ,71.2, 
14,2/9/2016,0000, , ,15.76,11.73,15.02,15.8,17.05, , ,0.0,11563.2, ,76.9, 
15,2/9/2016,0100, , ,15.32,11.58,14.68,15.37,16.79, , ,0.0,11558.9, ,78.4, 
16,2/9/2016,0200, , ,13.93,12.56,13.33,14.97,16.6, , ,0.4,11555.9, ,91.4, 
17,2/9/2016,0300, , ,14.2,12.86,13.19,14.37,16.36, , ,0.6,11552.8, ,91.6, 
