,Date,Date Code,SRC_NAME,GEOG_AREA_NAME,OB_END_TIME,MEAN_WIND_DIR,MEAN_WIND_SPEED,MAX_GUST_DIR,MAX_GUST_SPEED,MAX_GUST_CTIME
0,01/09/2016,1609010000,BRAMHAM,WEST YORKSHIRE,01/09/2016,240,4,240,6,2311
1,01/09/2016,1609010100,BRAMHAM,WEST YORKSHIRE,01/09/2016 01:00,210,3,220,6,24
2,01/09/2016,1609010200,BRAMHAM,WEST YORKSHIRE,01/09/2016 02:00,200,3,200,5,50
3,01/09/2016,1609010300,BRAMHAM,WEST YORKSHIRE,01/09/2016 03:00,220,4,220,6,221
4,01/09/2016,1609010400,BRAMHAM,WEST YORKSHIRE,01/09/2016 04:00,230,3,220,5,346
5,01/09/2016,1609010500,BRAMHAM,WEST YORKSHIRE,01/09/2016 05:00,220,4,220,7,448
6,01/09/2016,1609010600,BRAMHAM,WEST YORKSHIRE,01/09/2016 06:00,220,4,230,7,452
7,01/09/2016,1609010700,BRAMHAM,WEST YORKSHIRE,01/09/2016 07:00,210,5,220,7,644
8,01/09/2016,1609010800,BRAMHAM,WEST YORKSHIRE,01/09/2016 08:00,220,4,230,10,741
9,01/09/2016,1609010900,BRAMHAM,WEST YORKSHIRE,01/09/2016 09:00,230,6,220,12,846
10,01/09/2016,1609011000,BRAMHAM,WEST YORKSHIRE,01/09/2016 10:00,230,9,220,16,944
11,01/09/2016,1609011100,BRAMHAM,WEST YORKSHIRE,01/09/2016 11:00,230,8,230,15,1049
12,01/09/2016,1609011200,BRAMHAM,WEST YORKSHIRE,01/09/2016 12:00,230,9,230,16,1054
13,01/09/2016,1609011300,BRAMHAM,WEST YORKSHIRE,01/09/2016 13:00,220,11,200,19,1245
14,01/09/2016,1609011400,BRAMHAM,WEST YORKSHIRE,01/09/2016 14:00,220,11,200,19,1317
15,01/09/2016,1609011500,BRAMHAM,WEST YORKSHIRE,01/09/2016 15:00,220,10,240,19,1351
16,01/09/2016,1609011600,BRAMHAM,WEST YORKSHIRE,01/09/2016 16:00,210,10,190,17,1542
17,01/09/2016,1609011700,BRAMHAM,WEST YORKSHIRE,01/09/2016 17:00,200,11,210,18,1550
18,01/09/2016,1609011800,BRAMHAM,WEST YORKSHIRE,01/09/2016 18:00,210,8,230,14,1700
19,01/09/2016,1609011900,BRAMHAM,WEST YORKSHIRE,01/09/2016 19:00,210,6,200,11,1751
20,01/09/2016,1609012000,BRAMHAM,WEST YORKSHIRE,01/09/2016 20:00,180,5,190,10,1943
21,01/09/2016,1609012100,BRAMHAM,WEST YORKSHIRE,01/09/2016 21:00,200,6,220,14,2038
22,01/09/2016,1609012200,BRAMHAM,WEST YORKSHIRE,01/09/2016 22:00,220,9,220,18,2122
23,01/09/2016,1609012300,BRAMHAM,WEST YORKSHIRE,01/09/2016 23:00,220,10,220,16,2207
24,02/09/2016,1609020000,BRAMHAM,WEST YORKSHIRE,02/09/2016,220,10,230,18,2348
25,02/09/2016,1609020100,BRAMHAM,WEST YORKSHIRE,02/09/2016 01:00,220,11,210,18,42
26,02/09/2016,1609020200,BRAMHAM,WEST YORKSHIRE,02/09/2016 02:00,210,9,200,17,140
27,02/09/2016,1609020300,BRAMHAM,WEST YORKSHIRE,02/09/2016 03:00,200,10,210,15,154
28,02/09/2016,1609020400,BRAMHAM,WEST YORKSHIRE,02/09/2016 04:00,180,8,190,13,254
29,02/09/2016,1609020500,BRAMHAM,WEST YORKSHIRE,02/09/2016 05:00,190,9,210,17,443
30,02/09/2016,1609020600,BRAMHAM,WEST YORKSHIRE,02/09/2016 06:00,200,10,200,15,455
31,02/09/2016,1609020700,BRAMHAM,WEST YORKSHIRE,02/09/2016 07:00,210,8,220,17,632
32,02/09/2016,1609020800,BRAMHAM,WEST YORKSHIRE,02/09/2016 08:00,230,6,230,12,652
33,02/09/2016,1609020900,BRAMHAM,WEST YORKSHIRE,02/09/2016 09:00,200,6,240,11,845
34,02/09/2016,1609021000,BRAMHAM,WEST YORKSHIRE,02/09/2016 10:00,230,9,230,16,902
35,02/09/2016,1609021100,BRAMHAM,WEST YORKSHIRE,02/09/2016 11:00,230,8,250,15,1048
36,02/09/2016,1609021200,BRAMHAM,WEST YORKSHIRE,02/09/2016 12:00,250,9,260,16,1140
37,02/09/2016,1609021300,BRAMHAM,WEST YORKSHIRE,02/09/2016 13:00,250,11,260,20,1155
38,02/09/2016,1609021400,BRAMHAM,WEST YORKSHIRE,02/09/2016 14:00,250,8,260,16,1328
39,02/09/2016,1609021500,BRAMHAM,WEST YORKSHIRE,02/09/2016 15:00,250,9,260,18,1443
40,02/09/2016,1609021600,BRAMHAM,WEST YORKSHIRE,02/09/2016 16:00,240,11,260,19,1548
41,02/09/2016,1609021700,BRAMHAM,WEST YORKSHIRE,02/09/2016 17:00,250,10,260,18,1550
42,02/09/2016,1609021800,BRAMHAM,WEST YORKSHIRE,02/09/2016 18:00,250,8,240,14,1704
43,02/09/2016,1609021900,BRAMHAM,WEST YORKSHIRE,02/09/2016 19:00,260,8,250,16,1819
44,02/09/2016,1609022000,BRAMHAM,WEST YORKSHIRE,02/09/2016 20:00,240,7,240,12,1946
45,02/09/2016,1609022100,BRAMHAM,WEST YORKSHIRE,02/09/2016 21:00,240,6,230,9,2001
46,02/09/2016,1609022200,BRAMHAM,WEST YORKSHIRE,02/09/2016 22:00,230,5,240,10,2103
47,02/09/2016,1609022300,BRAMHAM,WEST YORKSHIRE,02/09/2016 23:00,220,3,250,6,2156
48,03/09/2016,1609030000,BRAMHAM,WEST YORKSHIRE,03/09/2016,220,5,230,9,2314
49,03/09/2016,1609030100,BRAMHAM,WEST YORKSHIRE,03/09/2016 01:00,210,5,220,10,47
50,03/09/2016,1609030200,BRAMHAM,WEST YORKSHIRE,03/09/2016 02:00,220,7,230,10,116
51,03/09/2016,1609030300,BRAMHAM,WEST YORKSHIRE,03/09/2016 03:00,230,7,220,11,229
52,03/09/2016,1609030400,BRAMHAM,WEST YORKSHIRE,03/09/2016 04:00,220,7,220,11,322
53,03/09/2016,1609030500,BRAMHAM,WEST YORKSHIRE,03/09/2016 05:00,220,6,220,10,350
54,03/09/2016,1609030600,BRAMHAM,WEST YORKSHIRE,03/09/2016 06:00,210,4,200,7,542
55,03/09/2016,1609030700,BRAMHAM,WEST YORKSHIRE,03/09/2016 07:00,200,4,210,8,646
56,03/09/2016,1609030800,BRAMHAM,WEST YORKSHIRE,03/09/2016 08:00,200,5,200,9,725
57,03/09/2016,1609030900,BRAMHAM,WEST YORKSHIRE,03/09/2016 09:00,200,6,190,11,816
58,03/09/2016,1609031000,BRAMHAM,WEST YORKSHIRE,03/09/2016 10:00,200,6,210,11,910
59,03/09/2016,1609031100,BRAMHAM,WEST YORKSHIRE,03/09/2016 11:00,180,5,190,9,959
60,03/09/2016,1609031200,BRAMHAM,WEST YORKSHIRE,03/09/2016 12:00,170,6,180,10,1140
61,03/09/2016,1609031300,BRAMHAM,WEST YORKSHIRE,03/09/2016 13:00,160,9,150,14,1226
62,03/09/2016,1609031400,BRAMHAM,WEST YORKSHIRE,03/09/2016 14:00,140,6,150,11,1258
63,03/09/2016,1609031500,BRAMHAM,WEST YORKSHIRE,03/09/2016 15:00,110,8,110,15,1435
64,03/09/2016,1609031600,BRAMHAM,WEST YORKSHIRE,03/09/2016 16:00,100,9,100,15,1540
65,03/09/2016,1609031700,BRAMHAM,WEST YORKSHIRE,03/09/2016 17:00,110,10,90,16,1552
66,03/09/2016,1609031800,BRAMHAM,WEST YORKSHIRE,03/09/2016 18:00,130,7,130,11,1716
67,03/09/2016,1609031900,BRAMHAM,WEST YORKSHIRE,03/09/2016 19:00,170,5,180,11,1845
68,03/09/2016,1609032000,BRAMHAM,WEST YORKSHIRE,03/09/2016 20:00,190,10,210,17,1933
