T1,Garcia,Bel_feb_T,Bel_feb_INP,Bel_May_T,Bel_May_INP,Santa_T,Santa_INP,Mason_T,Mason_neg,Mason_INP,Mason_pos
-20.385,5.66294,-18,1.61E-01,-18,7.71E-02,-18,0.220088,-15,0.4081179,0.489502,0.374436
-16.4856,1.81248,-18,1.31E-01,-18,1.10E-01,-18,0.22038,-20,0.302158,1.00213,0.23334
-15.8025,0.706705,-18,2.77E-01,-18,1.72E-01,-18,0.186522,-25,1.58009,8.36613,2.91607
-14.5339,0.890555,-18,2.73E-01,-18,1.90E-01,-18,0.763129,,,,
-12.4455,0.362445,-18,4.31E-01,-18,1.84E-01,-18,0.376677,,,,
-8.6793,0.110722,-18,2.84E-01,-18,1.61E-01,-18,0.631021,,,,
-8.06857,0.0628864,-18,4.78E-01,-18,2.52E-01,-18,0.259726,,,,
-7.52069,0.026947,-18,1.52E-01,-18,1.42E-01,-18,0.225904,,,,
-7.10123,0.00793166,-18,1.28E-01,-18,1.73E-01,-18,0.120035,,,,
-19.9003,13.1943,-18,2.09E-01,-18,3.27E-01,-18,0.162033,,,,
-18.8789,7.11883,-18,1.77E-01,-18,9.73E-02,-18,0.2457,,,,
-18.8184,19.1911,-18,2.83E-01,-18,1.08E-01,-18,0.185356,,,,
-16.3665,4.20288,-18,2.30E-01,-18,1.56E-01,-18,0.291825,,,,
-16.1495,0.665685,-18,3.82E-01,-18,8.48E-02,,,,,,
-12.3574,1.21639,-18,7.52E-01,-18,2.82E-01,,,,,,
-11.597,0.16694,-18,9.48E-02,-18,2.06E-01,,,,,,
-11.4652,0.280564,-18,2.31E-01,-18,2.79E-01,,,,,,
-8.60936,0.0895495,-18,1.33E-01,-18,1.98E-01,,,,,,
-7.99605,0.0584335,-18,9.08E-01,-18,6.66E-02,,,,,,
-7.45123,0.0419154,-18,4.79E-01,-18,1.65E-01,,,,,,
-6.97247,0.0237468,,,,,,,,,,
-5.94507,0.00573989,,,,,,,,,,
-20.4253,1.24571,,,,,,,,,,
-18.0649,6.77411,,,,,,,,,,
-17.9912,3.03417,,,,,,,,,,
-17.0368,1.48979,,,,,,,,,,
-16.9774,4.6276,,,,,,,,,,
-16.0939,3.47653,,,,,,,,,,
-14.7303,1.22494,,,,,,,,,,
-13.9202,1.95977,,,,,,,,,,
-12.7596,0.659056,,,,,,,,,,
-12.0775,0.373159,,,,,,,,,,
-8.75643,0.42577,,,,,,,,,,
-8.61631,0.230318,,,,,,,,,,
-8.00335,0.157558,,,,,,,,,,
-7.93311,0.113178,,,,,,,,,,
-7.38795,0.0774389,,,,,,,,,,
-6.84035,0.0380684,,,,,,,,,,
-6.83791,0.0273509,,,,,,,,,,
-5.88074,0.00920343,,,,,,,,,,
-5.46839,0.00431734,,,,,,,,,,
-19.9136,79.4126,,,,,,,,,,
-19.9063,29.4517,,,,,,,,,,
-15.699,17.3012,,,,,,,,,,
-15.6923,7.05218,,,,,,,,,,
-15.4323,31.9448,,,,,,,,,,
-15.4295,21.8924,,,,,,,,,,
-13.8674,14.9344,,,,,,,,,,
-11.9023,17.1083,,,,,,,,,,
-11.8922,4.34834,,,,,,,,,,
-8.8357,2.02395,,,,,,,,,,
-8.77451,4.96438,,,,,,,,,,
-8.02525,3.0887,,,,,,,,,,
-7.95015,1.14528,,,,,,,,,,
-7.40394,0.680094,,,,,,,,,,
-7.06287,0.511747,,,,,,,,,,
-7.00411,1.74708,,,,,,,,,,
-6.45894,1.1954,,,,,,,,,,
-6.11682,0.780652,,,,,,,,,,
-5.97253,0.239581,,,,,,,,,,
-5.56714,0.289057,,,,,,,,,,
-5.5567,0.0700786,,,,,,,,,,
-5.49412,0.142298,,,,,,,,,,
-4.93783,0.0214769,,,,,,,,,,
-4.9347,0.0140395,,,,,,,,,,
