Temp,INP
-15.5,0.055047953
-15.7,0.110855212
-16,0.167443017
-16.1,0.224833513
-16.9,0.2830498
-17.5,0.34211599
-17.7,0.402057266
-18.9,0.462899948
-19,0.524671562
-19.4,0.587400914
-19.5,0.65111817
-19.9,0.715854945
-20.4,0.781644396
-20.8,0.848521326
-21.3,0.91652229
-21.4,0.98568572
-21.6,1.127663871
-21.7,1.200566062
-21.8,1.350433645
-22,1.50606676
-22.1,1.58618744
-22.2,1.667926829
-22.3,1.923546273
-22.5,2.196411141
-22.6,2.389112423
-22.7,2.489017799
-22.8,2.591452691
-23,2.696548525
-23.1,2.804447243
-23.2,3.146563233
-23.3,3.267347191
-23.4,3.652968569
-23.5,3.932111114
-23.6,4.079253225
-23.7,4.231949163
-23.8,4.390634683
-24,4.727993515
-24.2,4.907843663
-24.4,5.293465041
-24.5,5.719749698
-24.7,6.1962954
-24.8,6.736558357
-24.9,7.36024617
-25,7.712290906
-25.2,8.524196941
-25.3,9.5410056
-25.5,10.16469341
-25.8,11.80518989
-25.9,12.96914066
-26.1,14.60963713
-26.2,17.41408437
-16.3,0.044894978
-16.4,0.090321271
-17.6,0.136291603
-17.7,0.182819165
-17.8,0.229917632
-18.3,0.277601188
-18.7,0.325884553
-18.8,0.374783009
-19.1,0.52533081
-19.3,0.629079745
-19.4,0.682025093
-19.6,0.73571096
-19.8,0.790158353
-20.1,0.84538919
-20.2,0.901426344
-20.3,0.958293708
-20.4,1.074620092
-20.5,1.134132554
-20.6,1.255999199
-20.7,1.381862176
-20.8,1.446375911
-20.9,1.715853336
-21,1.858035401
-21.1,1.931151457
-21.3,2.005687331
-21.4,2.081699259
-21.5,2.159246884
-21.6,2.238393541
-21.7,2.401757638
-21.8,2.572384701
-21.9,2.843448601
-22,2.938230624
-22.2,3.135118749
-22.3,3.450787789
-22.4,3.794761989
-22.5,4.172621934
-22.6,4.742328694
-22.7,5.062387073
-22.8,5.411580142
-22.9,6.222685215
-23,6.455391425
-23.2,7.252410329
-23.3,7.559652412
-23.4,7.893643572
-23.5,8.259489495
-23.6,9.11602086
-23.7,9.628578025
-24,10.92011893
-24.1,11.7766503
-24.2,12.88091128
-24.4,14.43727973
-24.8,17.09790917
-13.5,0.057605553
-15.2,0.115917941
-15.5,0.174954724
-15.7,0.234734129
-16.1,0.295275074
-16.2,0.356597215
-16.4,0.418720975
-16.7,0.48166759
-17.1,0.545459151
-17.4,0.610118651
-17.5,0.675670035
-17.7,0.742138251
-18,0.80954931
-18.1,1.017716892
-18.3,1.235422129
-18.5,1.31026462
-18.8,1.463581141
-19.3,1.542134995
-19.4,1.703248728
-19.5,1.785901245
-19.6,1.870016714
-19.7,2.042850305
-20,2.222207439
-20.1,2.314489949
-20.2,2.408599954
-20.3,2.5046113
-20.4,2.702656621
-20.8,2.909315265
-20.9,3.12537065
-21,3.237196985
-21.1,3.469067359
-21.2,3.589387709
-21.3,3.712833609
-21.4,3.839571786
-21.5,3.96978267
-21.6,4.383295534
-21.7,4.529534764
-21.9,4.680417276
-22,4.836247629
-22.2,4.997361362
-22.3,5.164129349
-22.4,5.516320073
-22.5,5.896715034
-22.8,6.531309619
-22.9,7.006946244
-23,7.263895304
-23.1,7.535534948
-23.2,7.823647398
-23.3,8.130360264
-23.5,8.458241984
-23.6,9.604340533
-23.7,10.05729263
-24,10.55800794
-24.1,12.4849403
-24.5,13.35140526
-24.6,14.41187267
-24.9,15.77905294
-25,21.00009794
-14.3,0.059036784
-15.6,0.118816188
-16.7,0.179357133
-17.6,0.240679274
-17.9,0.302803034
-18.1,0.365749649
-18.4,0.559752094
-18.6,0.62622031
-18.7,0.693631369
-18.9,0.762012404
-19.3,0.901798951
-19.6,0.973264959
-20,1.119504188
-20.1,1.270386701
-20.2,1.3476632
-20.3,1.426217054
-20.4,1.506091202
-20.5,1.587330787
-20.6,1.754098774
-20.9,1.926932364
-21,2.015764857
-21.1,2.106289498
-21.2,2.292682013
-21.4,2.486684459
-21.5,2.793397324
-21.6,2.900197323
-21.7,3.009452709
-21.8,3.121279044
-21.9,3.353149418
-22,3.473469768
-22.1,3.853864729
-22.3,4.125504372
-22.5,4.267377593
-22.6,4.413616823
-22.9,4.564499336
-23.3,4.881443421
-23.6,5.221044999
-23.7,5.586794648
-23.8,5.983057403
-23.9,6.415391678
-24,7.147977363
-24.2,7.707729457
-24.3,9.488422592
-24.4,11.00184209
-24.5,11.63643668
-24.6,13.23548732
-24.8,14.29595473
-25,15.663135
-25.3,17.59006736
-25.7,20.88418
-15.8,0.064645417
-16.4,0.13012499
-16.5,0.196460531
-16.6,0.263674713
-16.8,0.331791126
-17.3,0.400834321
-17.4,0.470829866
-17.6,0.541804402
-17.7,0.613785702
-17.8,0.68680274
-18.3,0.760885757
-18.6,0.836066341
-18.7,0.912377501
-18.8,1.068531255
-19,1.229643091
-19.4,1.312158674
-19.5,1.481327558
-19.6,1.656330989
-19.7,1.746149202
-19.9,1.837585848
-20,2.025555358
-20.1,2.122217263
-20.2,2.220756215
-20.4,2.32124656
-20.5,2.423767149
-20.6,2.528401713
-20.8,2.635239271
-21,2.855908671
-21.2,2.969949348
-21.3,3.20601966
-21.4,3.582087721
-21.7,3.849233431
-21.8,3.988272171
-21.9,4.278328062
-22.3,4.429819806
-22.4,4.58597356
-22.5,4.747085395
-23,4.913480518
-23.1,5.085517215
-23.4,5.263591507
-23.6,5.448142629
-23.7,5.639659568
-23.9,5.838688864
-24,6.045844018
-24.1,6.487391653
-24.2,6.971052364
-24.3,7.23134514
-24.4,7.505714476
-24.5,8.103415864
-24.6,9.157101873
-24.8,9.563286322
-24.9,10.00483396
-25.1,11.02315678
-25.3,11.62085817
-25.5,13.08072863
-25.8,14.00593697
-25.9,18.65574278
-26.2,22.17318508
-14.2,0.046873496
-14.9,0.094288894
-15.5,0.142258871
-15.9,0.239915539
-16.6,0.28962992
-17,0.33995431
-17.2,0.390903863
-18,0.442494307
-18.3,0.494741973
-18.6,0.54766382
-19.1,0.601277476
-19.2,0.710654258
-19.4,0.766456293
-19.5,0.938567683
-19.6,0.997581453
-19.7,1.057456769
-19.8,1.118219158
-20,1.179895302
-20.3,1.30610176
-20.7,1.436315435
-20.8,1.570799164
-20.9,1.709842523
-21,1.927666431
