,T,INPs_perL,F,delta_INP_neg,delta_INP_pos,end,start
2,-18.5,0.336803455,0.058823529,0.270806099,0.480043572,26/09/2016 15:00,26/09/2016 12:00
3,-18.57,0.453766839,0.078431373,0.331145022,0.540382495,26/09/2016 15:00,26/09/2016 12:00
4,-19.86,0.573245757,0.098039216,0.385165897,0.59440337,26/09/2016 15:00,26/09/2016 12:00
5,-20.31,0.695350794,0.117647059,0.434813266,0.644050739,26/09/2016 15:00,26/09/2016 12:00
6,-20.35,0.820199993,0.137254902,0.481242295,0.690479767,26/09/2016 15:00,26/09/2016 12:00
7,-20.42,0.947919539,0.156862745,0.525207095,0.734444567,26/09/2016 15:00,26/09/2016 12:00
8,-20.8,1.078644525,0.176470588,0.567233709,0.776471182,26/09/2016 15:00,26/09/2016 12:00
9,-21.01,1.212519811,0.196078431,0.607707847,0.81694532,26/09/2016 15:00,26/09/2016 12:00
10,-21.03,1.349700992,0.215686275,0.64692371,0.856161183,26/09/2016 15:00,26/09/2016 12:00
11,-21.07,1.490355481,0.235294118,0.685113135,0.894350608,26/09/2016 15:00,26/09/2016 12:00
12,-21.11,1.634663739,0.254901961,0.72246398,0.931701452,26/09/2016 15:00,26/09/2016 12:00
13,-21.25,1.93503719,0.294117647,0.795250467,1.00448794,26/09/2016 15:00,26/09/2016 12:00
14,-21.3,2.091542062,0.31372549,0.830933481,1.040170953,26/09/2016 15:00,26/09/2016 12:00
15,-21.31,2.252583934,0.333333333,0.866282875,1.075520348,26/09/2016 15:00,26/09/2016 12:00
16,-21.46,2.418433729,0.352941176,0.901390172,1.110627644,26/09/2016 15:00,26/09/2016 12:00
17,-21.51,2.589387388,0.37254902,0.936339354,1.145576827,26/09/2016 15:00,26/09/2016 12:00
18,-21.53,2.765769046,0.392156863,0.971208876,1.180446348,26/09/2016 15:00,26/09/2016 12:00
19,-21.66,2.947934728,0.411764706,1.006073311,1.215310784,26/09/2016 15:00,26/09/2016 12:00
20,-21.68,3.136276682,0.431372549,1.041004768,1.250242241,26/09/2016 15:00,26/09/2016 12:00
21,-21.73,3.331228459,0.450980392,1.076074131,1.285311604,26/09/2016 15:00,26/09/2016 12:00
22,-21.85,3.533270926,0.470588235,1.111352217,1.320589689,26/09/2016 15:00,26/09/2016 12:00
23,-21.91,3.742939415,0.490196078,1.146910875,1.356148348,26/09/2016 15:00,26/09/2016 12:00
24,-21.95,3.960832266,0.509803922,1.182824104,1.392061577,26/09/2016 15:00,26/09/2016 12:00
25,-21.96,4.187621124,0.529411765,1.219169208,1.428406681,26/09/2016 15:00,26/09/2016 12:00
26,-21.97,4.424063427,0.549019608,1.256028059,1.465265532,26/09/2016 15:00,26/09/2016 12:00
27,-22.05,4.671017663,0.568627451,1.293488506,1.502725979,26/09/2016 15:00,26/09/2016 12:00
28,-22.08,4.929462194,0.588235294,1.331646011,1.540883483,26/09/2016 15:00,26/09/2016 12:00
29,-22.25,5.200518662,0.607843137,1.370605573,1.579843046,26/09/2016 15:00,26/09/2016 12:00
30,-22.31,5.485481409,0.62745098,1.410484077,1.619721549,26/09/2016 15:00,26/09/2016 12:00
31,-22.37,5.78585486,0.647058824,1.451413171,1.660650644,26/09/2016 15:00,26/09/2016 12:00
32,-22.49,6.440205058,0.68627451,1.537046412,1.746283885,26/09/2016 15:00,26/09/2016 12:00
33,-22.59,6.798752398,0.705882353,1.582125921,1.791363394,26/09/2016 15:00,26/09/2016 12:00
34,-23.01,7.182046128,0.725490196,1.629020892,1.838258365,26/09/2016 15:00,26/09/2016 12:00
35,-23.24,8.038438794,0.764705882,1.729471021,1.938708493,26/09/2016 15:00,26/09/2016 12:00
36,-23.39,8.521835333,0.784313725,1.783813041,1.993050513,26/09/2016 15:00,26/09/2016 12:00
37,-23.62,9.051336332,0.803921569,1.841597459,2.050834932,26/09/2016 15:00,26/09/2016 12:00
38,-23.73,9.63667253,0.823529412,1.903541121,2.112778594,26/09/2016 15:00,26/09/2016 12:00
39,-23.77,10.29102273,0.843137255,1.970600571,2.179838044,26/09/2016 15:00,26/09/2016 12:00
40,-24.08,11.0328638,0.862745098,2.044096479,2.253333952,26/09/2016 15:00,26/09/2016 12:00
41,-24.37,11.88925646,0.882352941,2.125931857,2.33516933,26/09/2016 15:00,26/09/2016 12:00
