,T,INPs_perL,F,K,INPs_perdrop,INPerr_pos,INPerr_neg,delta_INP_pos,delta_INP_neg
0,-16.28,0.055652544,0.023809524,24.09755158,0.024097552,0.216887537,3.73E-05,0.161234993,0.055615286
1,-18.63,0.112679363,0.047619048,48.79016417,0.048790164,0.319769231,0.011209203,0.207089868,0.10147016
2,-19.57,0.171150051,0.071428571,74.10797215,0.074107972,0.414101002,0.033818808,0.24295095,0.137331243
3,-19.65,0.231139627,0.095238095,100.0834586,0.100083459,0.504915088,0.062983874,0.273775461,0.168155754
4,-19.68,0.292729112,0.119047619,126.7517056,0.126751706,0.594207272,0.09687066,0.30147816,0.195858452
5,-20.11,0.356006189,0.142857143,154.1506798,0.15415068,0.683046856,0.134585229,0.327040667,0.22142096
6,-20.24,0.488011764,0.19047619,211.3090937,0.211309094,0.861893758,0.219749477,0.373881994,0.268262287
7,-20.72,0.628022438,0.238095238,271.9337155,0.271933715,1.045061741,0.316602841,0.417039304,0.311419596
8,-20.84,0.701345067,0.261904762,303.6824138,0.303682414,1.139059742,0.369250099,0.437714675,0.332094968
9,-20.88,0.855366717,0.30952381,370.3737883,0.370373788,1.333249699,0.483103442,0.477882982,0.372263275
10,-21.01,0.936409026,0.333333333,405.4651081,0.405465108,1.4339733,0.544464459,0.497564274,0.391944567
11,-21.03,1.020398966,0.357142857,441.8327523,0.441832752,1.53748081,0.60893683,0.517081844,0.411462136
12,-21.24,1.198138091,0.404761905,518.7937934,0.518793793,1.75403242,0.747863469,0.555894329,0.450274622
13,-21.27,1.292415215,0.428571429,559.6157879,0.559615788,1.867727732,0.822722404,0.575312518,0.46969281
14,-21.3,1.390705317,0.452380952,602.1754024,0.602175402,1.985522346,0.901507996,0.594817029,0.489197321
15,-21.33,1.493365277,0.476190476,646.6271649,0.646627165,2.10783126,0.984519002,0.614465983,0.508846275
16,-21.76,1.600801803,0.5,693.1471806,0.693147181,2.235120415,1.072102898,0.634318612,0.528698905
17,-21.9,1.713481166,0.523809524,741.9373447,0.741937345,2.36791778,1.164664259,0.654436614,0.548816907
18,-21.95,1.83194143,0.547619048,793.2306391,0.793230639,2.506827031,1.262675536,0.674885601,0.569265894
19,-21.99,1.956807992,0.571428571,847.2978604,0.84729786,2.652544727,1.366690964,0.695736735,0.590117028
20,-22.02,2.088813566,0.595238095,904.4562742,0.904456274,2.805882222,1.477364618,0.717068655,0.611448948
21,-22.16,2.22882424,0.619047619,965.080896,0.965080896,2.967794082,1.595474106,0.738969841,0.633350134
22,-22.24,2.377873943,0.642857143,1029.619417,1.029619417,3.139415551,1.721952041,0.761541609,0.655921901
23,-22.27,2.537210828,0.666666667,1098.612289,1.098612289,3.322112842,1.857928522,0.784902014,0.679282306
24,-22.45,2.70836088,0.69047619,1172.720261,1.172720261,3.517551965,2.004789502,0.809191085,0.703571378
25,-22.5,3.09416708,0.738095238,1339.774345,1.339774345,3.955438462,2.338515405,0.861271383,0.755651675
26,-22.52,3.314282968,0.761904762,1435.084525,1.435084525,4.203816908,2.530368737,0.889533939,0.783914232
27,-22.57,3.557609794,0.785714286,1540.445041,1.540445041,4.477314919,2.743524377,0.919705125,0.814085418
28,-22.72,4.138012631,0.833333333,1791.759469,1.791759469,5.125761717,3.255883253,0.987749086,0.882129378
29,-22.96,4.915084771,0.880952381,2128.231706,2.128231706,5.986844884,3.948944365,1.071760113,0.966140406
30,-23.01,6.094820623,0.928571429,2639.05733,2.63905733,7.282296217,5.012964736,1.187475594,1.081855887
31,-23.06,7.031229648,0.952380952,3044.522438,3.044522438,8.302757204,5.8653218,1.271527556,1.165907848
32,-23.29,8.632031451,0.976190476,3737.669618,3.737669618,10.03518396,7.334498654,1.403152504,1.297532797
0,-16.69,0.057972476,0.017241379,17.39174271,0.017391743,0.226301677,3.41E-05,0.168329201,0.057938397
1,-19.87,0.116971066,0.034482759,35.09131981,0.03509132,0.332868242,0.011464694,0.215897176,0.105506372
2,-19.96,0.177032751,0.051724138,53.10982531,0.053109825,0.429928876,0.034527431,0.252896125,0.14250532
