Software ver: OPC-N2 Alphasense 1.0.5779.33206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size LUT file,OPC-N2_06-02-2015.LUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device SerNo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InfoString,OPC-N2 FirmwareVer=OPC-017b...............................BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain scaling coeff,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laser digital pot setting,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan digital pot setting,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToF to SFR factor,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,,,,,,,,,,,,,,
Bin low boundary (ADC o/p),12,17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,,,,,,,,,,,,,,
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095,,,,,,,,,,,,,,
Bin low boundary (particle diameter [um]),0.38,0.54,0.78,1.05,1.34,1.59,2.07,3,4,5,6.5,8,10,12,14,16,,,,,,,,,,,,,,
Bin high boundary (particle diameter [um]),0.54,0.78,1.05,1.34,1.59,2.07,3,4,5,6.5,8,10,12,14,16,17.5,,,,,,,,,,,,,,
Bin centre (particle diameter [um]),0.460000008,0.659999996,0.914999962,1.194999993,1.465000033,1.829999983,2.534999967,3.5,4.5,5.75,7.25,9,11,13,15,16.75,,,,,,,,,,,,,,
Vol of a particle in bin (um3) (calculated by software),0.051,0.1505,0.4011,0.8935,1.6463,3.2089,8.5297,22.4493,47.7129,99.541,199.532,381.7035,696.91,1150.3465,1767.1459,2460.6115,,,,,,,,,,,,,,
Vol of a particle in bin (um3) (values stored on OPC),0.051,0.1505,0.4011,0.8935,1.6463,3.2089,8.5297,22.4493,47.7129,99.541,199.532,381.7035,696.91,1150.3466,1767.1459,2460.6116,,,,,,,,,,,,,,
Density of a particle in bin (g/ml),1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,,,,,,,,,,,,,,
Sample volume weighting for bin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C) or Pressure(Pa),PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
42648.67047,9.064,0,4.029,0,0,1.007,0,0,0,0,0,0,1.007,0,0,0,0,0,10.33,0,15.107,0.993,3.52,x,0.74,2.1,103.85,0.74,2.1,103.85
42648.67049,6.046,2.015,1.008,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,0,9,7.67,0,0,12.092,0.992,2.96,x,0.8,3.99,6.38,0.77,3.04,55.12
42648.6705,5.037,5.037,4.029,4.029,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,18.132,0.993,3.04,x,1.6,3.21,3.29,1.04,3.1,37.84
42648.67051,7.054,1.008,2.015,1.008,0,0,1.008,0,0,0,0,0,0,0,0,0,6.33,8.33,0,0,12.092,0.992,3.11,x,0.69,3.19,5.38,0.96,3.12,29.72
42648.67052,6.045,5.038,1.008,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,12.09,0.993,3.2,x,0.6,0.74,0.74,0.88,2.65,23.93
42648.67053,4.031,2.015,2.015,2.015,1.008,0,0,1.008,0,0,0,0,0,0,0,0,7,9.33,0,11,12.093,0.992,3.23,x,0.91,4.37,12.75,0.89,2.93,22.06
42648.67055,3.023,3.023,1.008,2.015,1.008,1.008,0,0,0,0,0,0,0,0,0,0,8.67,8.33,8.33,0,11.083,0.993,3.17,x,0.95,3.38,3.85,0.9,3,19.46
42648.67056,6.047,3.023,5.039,1.008,1.008,2.016,0,0,0,0,0,0,0,0,0,0,7.67,7,9,0,18.14,0.992,3.17,x,1.46,5.08,5.88,0.97,3.26,17.76
42648.67057,3.024,3.024,5.039,0,0,1.008,0,0,0,0,0,0,0,0,0,0,6.67,0,8.33,0,12.094,0.992,3.23,x,0.97,2.53,2.88,0.97,3.18,16.11
42648.67058,8.062,4.031,8.062,2.016,2.016,0,1.008,0,0,0,0,1.008,0,0,0,0,6,8.33,0,0,26.202,0.992,3.33,x,1.96,6.36,99.42,1.07,3.49,24.44
42648.67059,0,0,0,0,1.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.008,0.992,3.33,x,0.14,0.71,0.79,0.98,3.24,22.29
42648.6706,6.046,1.008,3.023,0,1.008,0,0,0,0,0,0,0,0,0,0,0,6.33,0,0,0,11.084,0.992,3.34,x,0.69,1.51,1.59,0.96,3.1,20.57
42648.67062,7.053,1.008,3.023,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,0,5.67,8.33,8.33,0,14.107,0.992,3.37,x,0.95,3.11,3.53,0.96,3.1,19.26
42648.67063,6.046,2.015,2.015,1.008,0,1.008,1.008,0,0,0,0,1.008,0,1.008,0,0,8.33,5.67,9.67,0,15.115,0.992,3.34,x,0.79,4.33,205.21,0.94,3.19,32.54
42648.67064,2.016,1.008,4.032,1.008,2.016,1.008,2.016,0,0,0,0,0,0,0,1.008,0,6.33,7.67,8.33,0,14.112,0.992,3.35,x,1.16,7.72,110.01,0.96,3.49,37.7
