Software ver: OPC-N2 Alphasense 1.0.5779.33206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size LUT file,OPC-N2_06-02-2015.LUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device SerNo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InfoString,OPC-N2 FirmwareVer=OPC-017b...............................BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain scaling coeff,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laser digital pot setting,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan digital pot setting,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToF to SFR factor,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,,,,,,,,,,,,,,
Bin low boundary (ADC o/p),12,17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,,,,,,,,,,,,,,
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095,,,,,,,,,,,,,,
Bin low boundary (particle diameter [um]),0.38,0.54,0.78,1.05,1.34,1.59,2.07,3,4,5,6.5,8,10,12,14,16,,,,,,,,,,,,,,
Bin high boundary (particle diameter [um]),0.54,0.78,1.05,1.34,1.59,2.07,3,4,5,6.5,8,10,12,14,16,17.5,,,,,,,,,,,,,,
Bin centre (particle diameter [um]),0.460000008,0.659999996,0.914999962,1.194999993,1.465000033,1.829999983,2.534999967,3.5,4.5,5.75,7.25,9,11,13,15,16.75,,,,,,,,,,,,,,
Vol of a particle in bin (um3) (calculated by software),0.051,0.1505,0.4011,0.8935,1.6463,3.2089,8.5297,22.4493,47.7129,99.541,199.532,381.7035,696.91,1150.3465,1767.1459,2460.6115,,,,,,,,,,,,,,
Vol of a particle in bin (um3) (values stored on OPC),0.051,0.1505,0.4011,0.8935,1.6463,3.2089,8.5297,22.4493,47.7129,99.541,199.532,381.7035,696.91,1150.3466,1767.1459,2460.6116,,,,,,,,,,,,,,
Density of a particle in bin (g/ml),1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,,,,,,,,,,,,,,
Sample volume weighting for bin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C) or Pressure(Pa),PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
42643.50989,9.067,5.037,4.03,3.022,3.022,4.03,0,0,0,0,0,0,0,0,0,0,7,8,9,0,28.208,0.993,3.58,x,2.08,8.82,10.32,2.08,8.82,10.32
42643.5099,6.047,4.032,6.047,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,0,6.67,15.67,0,0,19.15,0.992,3.63,x,1.29,4.28,6.23,1.69,6.55,8.28
42643.50991,6.04,6.04,1.007,1.007,1.007,0,0,0,0,0,0,0,0,0,0,0,4.67,4.33,0,0,15.101,0.993,4.11,x,0.74,1.55,1.62,1.37,4.89,6.06
42643.50992,6.047,4.031,9.07,0,0,1.008,2.016,0,0,0,0,0,0,0,0,0,5.33,0,8.33,0,22.172,0.992,4.2,x,1.28,5.72,9.21,1.35,5.09,6.85
42643.50994,7.053,4.031,0,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,0,6.67,7.67,8.33,0,14.107,0.992,4.11,x,0.65,2.25,2.6,1.21,4.53,6
42643.50995,10.075,1.008,0,1.008,0,0,0,0,0,0,0,0,0,0,0,0,6.33,6.33,0,0,12.09,0.993,4.1,x,0.36,0.6,0.61,1.07,3.87,5.1
42643.50996,10.075,10.075,2.015,1.008,0,0,1.008,1.008,0,0,0,0,0,0,0,0,5,7.67,0,9,25.188,0.993,4.31,x,1,4.46,12.26,1.06,3.96,6.12
42643.50997,10.077,8.062,3.023,2.015,0,1.008,0,0,0,0,0,0,0,0,0,0,5.33,6,8.33,0,24.186,0.992,4.36,x,1.13,2.62,2.9,1.07,3.79,5.72
42643.50998,8.062,1.008,3.023,2.015,1.008,0,0,0,0,0,0,0,0,0,0,0,5.67,7.33,0,0,15.115,0.992,4.36,x,0.78,1.83,1.91,1.03,3.57,5.3
42643.50999,12.092,6.046,5.038,2.015,0,3.023,3.023,1.008,1.008,0,0,0,0,0,0,0,5.33,6.33,7.67,9,33.253,0.992,4.39,x,1.5,11.73,37.58,1.08,4.39,8.53
42643.51001,7.054,0,6.046,2.015,2.015,0,0,1.008,0,0,0,0,0,0,0,0,0,6,0,10.33,18.138,0.992,4.39,x,1.08,4.29,10.52,1.08,4.38,8.71
42643.51002,5.038,7.054,8.061,3.023,1.008,4.031,1.008,0,0,0,0,0,0,0,0,0,5.33,6.67,6.33,0,29.222,0.992,4.42,x,1.88,8.14,10.78,1.15,4.69,8.88
42643.51003,4.031,4.031,5.039,3.023,3.023,0,0,0,1.008,0,0,0,0,0,0,0,4.33,9.33,0,0,20.157,0.992,4.49,x,1.3,4.67,18.94,1.16,4.69,9.65
42643.51004,12.091,2.015,3.023,1.008,0,0,1.008,0,0,0,0,0,0,0,0,0,7.67,5.67,0,0,19.144,0.992,4.43,x,0.71,2.53,4.07,1.13,4.54,9.26
42643.51005,4.03,6.046,2.015,1.008,0,1.008,0,0,1.008,0,0,0,0,0,0,0,5.33,5,8.33,0,15.114,0.992,4.45,x,0.71,3.05,17.5,1.1,4.44,9.8
