,Log10 INPs,Wind speed,Max gust direction,Max gust speed, Max Gust Ctime,Dry Bulb T,Dew Point T,Grass T,Concrete T,Soil T,Rainfall Total,Radiation Total,Humidity,rain_past_hour,APS Total,SMPS Total,3,4,aps_1um,demott,meyers
Log10 INPs,1.0,0.34036599661,-0.0299866385132,0.475837697646,0.614357486557,0.497513715278,0.389154084529,0.272249321695,-0.00819461855523,0.565615038311,0.111952471164,0.316777110929,-0.155432015524,0.172689280228,-0.398505878446,0.393908959759,,,-0.484342909189,-0.397125081766,
Wind speed,0.34036599661,1.0,0.206256877636,0.968839866963,0.382233701045,0.39294232146,0.115669700363,-0.0287570292569,-0.277958460051,0.385391542712,-0.233381328659,0.24465205202,-0.508642156823,0.318777570856,-0.853609778523,0.201976051739,,,-0.844779321966,-0.840210147155,
Max gust direction,-0.0299866385132,0.206256877636,1.0,0.170725205828,-0.265702836286,0.125147642917,0.374384523796,-0.14028786789,-0.326258903098,-0.261380064825,-0.256983151188,-0.540583741086,0.516008432977,0.333269623463,-0.0581181234287,-0.451778837672,,,0.0847507547682,-0.012796033021,
Max gust speed,0.475837697646,0.968839866963,0.170725205828,1.0,0.46396563711,0.570012049041,0.259545701309,0.1793726192,-0.101611855171,0.551520940584,-0.280274379989,0.335015081534,-0.552030151662,0.227942605331,-0.801259062068,0.253754230884,,,-0.825153742421,-0.790733482258,
 Max Gust Ctime,0.614357486557,0.382233701045,-0.265702836286,0.46396563711,1.0,0.153199947693,-0.0626850417862,-0.106438037038,-0.272205430609,0.623244440782,0.222713255953,0.723490678521,-0.40063931461,-0.108586340939,-0.535500118687,0.0325006260122,,,-0.546577588772,-0.548386126825,
Dry Bulb T,0.497513715278,0.39294232146,0.125147642917,0.570012049041,0.153199947693,1.0,0.87086904145,0.78300813834,0.526526804919,0.795624366995,-0.119850403193,-0.00238192861351,-0.13294256942,-0.144221554882,-0.307330958085,0.136817932975,,,-0.408735573118,-0.310353365797,
Dew Point T,0.389154084529,0.115669700363,0.374384523796,0.259545701309,-0.0626850417862,0.87086904145,1.0,0.598618347519,0.351621685345,0.595637483948,0.131155974243,-0.419629217204,0.371208511975,-0.124327522739,-0.16181861104,-0.181236978247,,,-0.197334782463,-0.157098265728,
Grass T,0.272249321695,-0.0287570292569,-0.14028786789,0.1793726192,-0.106438037038,0.78300813834,0.598618347519,1.0,0.928358984062,0.518515571733,-0.421399154068,0.153252595951,-0.276024619427,-0.328520819478,0.260220232783,0.36268435873,,,0.104691119024,0.252606634679,
Concrete T,-0.00819461855523,-0.277958460051,-0.326258903098,-0.101611855171,-0.272205430609,0.526526804919,0.351621685345,0.928358984062,1.0,0.302367544257,-0.425146238567,0.164379058502,-0.290408235109,-0.414567571775,0.504211503658,0.369996437053,,,0.342499094497,0.488999614441,
Soil T,0.565615038311,0.385391542712,-0.261380064825,0.551520940584,0.623244440782,0.795624366995,0.595637483948,0.518515571733,0.302367544257,1.0,0.21306577819,0.356734844362,-0.290376176625,-0.376165633784,-0.510666303839,0.027688822902,,,-0.59215798713,-0.529928217736,
Rainfall Total,0.111952471164,-0.233381328659,-0.256983151188,-0.280274379989,0.222713255953,-0.119850403193,0.131155974243,-0.421399154068,-0.425146238567,0.21306577819,1.0,-0.301624149445,0.497197307293,-0.0419590679148,-0.289401437637,-0.327223600449,,,-0.267698510788,-0.317916225325,
Radiation Total,0.316777110929,0.24465205202,-0.540583741086,0.335015081534,0.723490678521,-0.00238192861351,-0.419629217204,0.153252595951,0.164379058502,0.356734844362,-0.301624149445,1.0,-0.833384752394,-0.167407258132,-0.121283756967,0.426250580826,,,-0.210159069081,-0.138580675957,
Humidity,-0.155432015524,-0.508642156823,0.516008432977,-0.552030151662,-0.40063931461,-0.13294256942,0.371208511975,-0.276024619427,-0.290408235109,-0.290376176625,0.497197307293,-0.833384752394,1.0,0.00278867936098,0.248200138191,-0.64130932409,,,0.371750599889,0.263589384086,
rain_past_hour,0.172689280228,0.318777570856,0.333269623463,0.227942605331,-0.108586340939,-0.144221554882,-0.124327522739,-0.328520819478,-0.414567571775,-0.376165633784,-0.0419590679148,-0.167407258132,0.00278867936098,1.0,-0.213855455512,0.434052308945,,,-0.274332675351,-0.215551527637,
APS Total,-0.398505878446,-0.853609778523,-0.0581181234287,-0.801259062068,-0.535500118687,-0.307330958085,-0.16181861104,0.260220232783,0.504211503658,-0.510666303839,-0.289401437637,-0.121283756967,0.248200138191,-0.213855455512,1.0,0.0243747320381,,,0.965967506513,0.998004049057,
SMPS Total,0.393908959759,0.201976051739,-0.451778837672,0.253754230884,0.0325006260122,0.136817932975,-0.181236978247,0.36268435873,0.369996437053,0.027688822902,-0.327223600449,0.426250580826,-0.64130932409,0.434052308945,0.0243747320381,1.0,,,-0.189615864406,0.0028567663434,
3,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,
aps_1um,-0.484342909189,-0.844779321966,0.0847507547682,-0.825153742421,-0.546577588772,-0.408735573118,-0.197334782463,0.104691119024,0.342499094497,-0.59215798713,-0.267698510788,-0.210159069081,0.371750599889,-0.274332675351,0.965967506513,-0.189615864406,,,1.0,0.974928666804,
demott,-0.397125081766,-0.840210147155,-0.012796033021,-0.790733482258,-0.548386126825,-0.310353365797,-0.157098265728,0.252606634679,0.488999614441,-0.529928217736,-0.317916225325,-0.138580675957,0.263589384086,-0.215551527637,0.998004049057,0.0028567663434,,,0.974928666804,1.0,
meyers,,,,,,,,,,,,,,,,,,,,,
