,Log10 INPs,Av. wind dir, Av. wind speed,Max gust direction,Max gust speed, Max Gust Ctime,Dry Bulb T,Dew Point T,Grass T,Concrete T,Soil T,Rainfall Total,Radiation Total,Humidity,APS Total Count,SMPS Total Count
Log10 INPs,1.0,0.00362259925123,-0.248867138882,0.00297496235917,-0.165997779364,0.053587445652,-0.163649839847,0.0357577131944,-0.215489059211,-0.297330085141,-0.226877854965,0.16723721436,-0.371421558219,0.309642452166,-0.0437471668467,0.0274244236431
Av. wind dir,0.00362259925123,1.0,0.0434066762212,0.911461883772,0.166725181757,0.223194407134,-0.362352343602,-0.258612831872,-0.443233250709,-0.422071718209,-0.339267895105,0.0463168568588,0.112891273821,0.168882295695,-0.0774824172293,-0.131536972452
 Av. wind speed,-0.248867138882,0.0434066762212,1.0,0.155412455678,0.91898280095,0.0554510152488,0.355964944286,0.0817827929568,0.169856214516,0.0736635435488,0.368532863069,-0.324349069516,0.244252023584,-0.422328245029,-0.472516233994,-0.0963908499352
Max gust direction,0.00297496235917,0.911461883772,0.155412455678,1.0,0.224821046251,0.129681164526,-0.266619321029,-0.194004986574,-0.364396851771,-0.379125131825,-0.310464368401,-0.113231174075,-0.00239061539746,0.115114072772,-0.0532590060714,-0.0924950281633
Max gust speed,-0.165997779364,0.166725181757,0.91898280095,0.224821046251,1.0,0.144017523583,0.213689308298,-0.0535800065112,0.0619710207738,-0.0210627379405,0.189167488996,-0.336313895399,0.281428879397,-0.403262390701,-0.491630752143,-0.207886338568
 Max Gust Ctime,0.053587445652,0.223194407134,0.0554510152488,0.129681164526,0.144017523583,1.0,-0.271423302186,-0.199320166929,-0.506494640683,-0.520254313129,-0.0279114766365,0.0559511069472,0.484484805899,0.13992449382,0.0589462656417,0.112905838278
Dry Bulb T,-0.163649839847,-0.362352343602,0.355964944286,-0.266619321029,0.213689308298,-0.271423302186,1.0,0.781864728975,0.887589214733,0.7827298937,0.817563089972,-0.334823795511,0.0291763653712,-0.418387749611,-0.0221514201924,0.469987935148
Dew Point T,0.0357577131944,-0.258612831872,0.0817827929568,-0.194004986574,-0.0535800065112,-0.199320166929,0.781864728975,1.0,0.577346271892,0.450119973454,0.658755772282,0.0493052139333,-0.318759692946,0.23844492173,0.084827646795,0.637511555098
Grass T,-0.215489059211,-0.443233250709,0.169856214516,-0.364396851771,0.0619710207738,-0.506494640683,0.887589214733,0.577346271892,1.0,0.968370864871,0.701528174522,-0.389129611247,0.125081277247,-0.540571402676,0.0897533981413,0.270121882499
Concrete T,-0.297330085141,-0.422071718209,0.0736635435488,-0.379125131825,-0.0210627379405,-0.520254313129,0.7827298937,0.450119973454,0.968370864871,1.0,0.660876427627,-0.354650035735,0.224874862439,-0.561487283443,0.183232535586,0.188680455537
Soil T,-0.226877854965,-0.339267895105,0.368532863069,-0.310464368401,0.189167488996,-0.0279114766365,0.817563089972,0.658755772282,0.701528174522,0.660876427627,1.0,-0.0321911033075,0.308917542404,-0.299165305893,-0.0242864292341,0.518506448701
Rainfall Total,0.16723721436,0.0463168568588,-0.324349069516,-0.113231174075,-0.336313895399,0.0559511069472,-0.334823795511,0.0493052139333,-0.389129611247,-0.354650035735,-0.0321911033075,1.0,-0.223068119792,0.601561911124,-0.169633125319,0.0234927238061
Radiation Total,-0.371421558219,0.112891273821,0.244252023584,-0.00239061539746,0.281428879397,0.484484805899,0.0291763653712,-0.318759692946,0.125081277247,0.224874862439,0.308917542404,-0.223068119792,1.0,-0.494537129944,-0.0664484737206,-0.0637631523667
Humidity,0.309642452166,0.168882295695,-0.422328245029,0.115114072772,-0.403262390701,0.13992449382,-0.418387749611,0.23844492173,-0.540571402676,-0.561487283443,-0.299165305893,0.601561911124,-0.494537129944,1.0,0.152549683604,0.20839559932
APS Total Count,-0.0437471668467,-0.0774824172293,-0.472516233994,-0.0532590060714,-0.491630752143,0.0589462656417,-0.0221514201924,0.084827646795,0.0897533981413,0.183232535586,-0.0242864292341,-0.169633125319,-0.0664484737206,0.152549683604,1.0,0.635677711309
SMPS Total Count,0.0274244236431,-0.131536972452,-0.0963908499352,-0.0924950281633,-0.207886338568,0.112905838278,0.469987935148,0.637511555098,0.270121882499,0.188680455537,0.518506448701,0.0234927238061,-0.0637631523667,0.20839559932,0.635677711309,1.0
