size_um,percent
0.0109714,93.4564
0.0117623,94.2171
0.0132075,94.8256
0.0140501,95.3581
0.0156551,95.9666
0.0179904,96.5751
0.0194361,97.1837
0.0221622,97.4119
0.0248834,97.6401
0.0268816,97.9443
0.0306523,98.2486
0.0336288,98.5529
0.0389413,98.705
0.0440623,99.0093
0.0526228,99.1614
0.0577311,99.3135
0.0653202,99.3896
0.0705624,99.4657
0.0762253,99.5417
0.0855812,99.5417
0.0946164,99.6939
0.10623,99.6939
0.119268,99.6939
0.140258,99.846
0.151512,99.846
0.159923,99.846
0.174094,99.846
0.196977,99.846
0.221157,99.9221
0.254111,99.7699
0.280926,99.6939
0.308183,99.6178
0.33809,99.6178
0.385498,99.6939
0.432814,99.6939
0.471165,99.6939
0.516888,99.6939
0.562688,99.6939
0.598527,99.6939
0.656609,99.6939
0.772133,99.6178
0.847062,99.6178
0.915016,99.5417
0.988435,99.5417
1.05952,99.4657
1.1445,99.3135
1.23632,99.2375
1.32521,99.0853
1.4315,98.9332
1.54632,98.7811
1.65748,98.5529
1.7904,98.3247
1.9191,98.0965
2.05706,97.8683
2.20487,97.4879
2.36334,97.1837
2.51369,96.8033
2.67356,96.3469
2.84363,95.9666
3.02445,95.4341
3.19207,94.9777
3.36889,94.3692
3.52821,93.8367
3.72365,93.2282
3.86971,92.6197
4.0526,91.9351
4.21157,91.3265
4.37671,90.6419
4.54833,89.9573
4.69033,89.2727
4.83677,88.5881
4.98778,87.9035
5.14351,87.2189
5.26324,86.4583
5.42756,85.7737
5.5539,85.013
5.68327,84.3284
5.81557,83.5677
5.95103,82.8831
6.08956,82.1224
6.2314,81.4378
6.32743,80.6772
6.42494,79.9165
6.5745,79.1558
6.67591,78.4712
6.83131,77.7106
6.93659,76.9499
7.04349,76.1892
7.15213,75.5046
7.20652,74.744
7.31757,73.9833
7.43034,73.2226
7.54485,72.462
7.66123,71.7774
7.77929,71.0167
7.83845,70.256
7.95924,69.4954
8.01976,68.7347
8.14335,67.974
8.20527,67.2134
8.33172,66.4527
8.46024,65.7681
8.52457,65.0074
8.65594,64.2468
8.72175,63.4861
8.78807,62.7254
8.9235,61.9647
8.99135,61.2041
9.05972,60.4434
9.12861,59.6827
9.26929,58.9221
9.33977,58.1614
9.41092,57.4768
9.48248,56.7161
9.62861,55.9555
9.70182,55.1948
9.77559,54.4341
9.84992,53.6735
10.0017,52.9128
