Datetime,Date,Time,Dry Bulb Temperature,Dew Point Temperature,Grass Temperature,Concrete Temperature,10cm Soil Temperature,Rainfall Total since 0900,Radiation Total since 0900,Humidity,hourly_rain,jd,rain
2016-08-31 10:00:00,31-8-2016,10:00,19.83,13.59,29.26,30.13,17.43,0.0,1815.8,67.0,0.0,2457631.91667,dry
2016-08-31 11:00:00,31-8-2016,11:00,19.75,14.45,27.32,29.05,18.68,0.0,3179.0,71.5,0.0,2457631.95833,dry
2016-08-31 12:00:00,31-8-2016,12:00,20.43,15.19,28.93,31.58,19.34,0.0,4630.1,71.9,0.0,2457632.0,dry
2016-08-31 13:00:00,31-8-2016,13:00,20.27,13.09,27.36,32.22,20.61,0.0,6990.1,63.4,0.0,2457632.04167,dry
2016-08-31 14:00:00,31-8-2016,14:00,20.74,10.56,27.4,32.53,21.61,0.0,9306.8,52.1,0.0,2457632.08333,dry
2016-08-31 15:00:00,31-8-2016,15:00,19.23,11.29,21.98,27.77,22.35,0.0,11182.0,60.0,0.0,2457632.125,dry
2016-08-31 16:00:00,31-8-2016,16:00,19.36,11.84,25.48,28.7,22.03,0.0,12513.2,61.7,0.0,2457632.16667,dry
2016-08-31 17:00:00,31-8-2016,17:00,18.89,11.21,22.33,25.46,21.72,0.0,13430.4,61.0,0.0,2457632.20833,dry
2016-08-31 18:00:00,31-8-2016,18:00,17.13,11.36,16.26,20.28,20.97,0.0,13826.2,68.8,0.0,2457632.25,dry
2016-08-31 19:00:00,31-8-2016,19:00,16.56,11.49,15.35,18.27,19.98,0.0,13904.1,72.0,0.0,2457632.29167,dry
2016-08-31 20:00:00,31-8-2016,20:00,15.92,11.74,14.17,16.65,19.08,0.0,13899.5,76.2,0.0,2457632.33333,dry
2016-08-31 21:00:00,31-8-2016,21:00,15.22,11.92,13.81,15.99,18.37,0.0,13892.7,80.7,0.0,2457632.375,dry
2016-08-31 22:00:00,31-8-2016,22:00,14.16,11.75,12.35,15.2,17.84,0.0,13885.9,85.4,0.0,2457632.41667,dry
2016-08-31 23:00:00,31-8-2016,23:00,13.8,11.92,11.89,14.92,17.42,0.0,13879.8,88.4,0.0,2457632.45833,dry
2016-09-01 00:00:00,01-9-2016,00:00,14.15,12.16,12.82,14.97,17.1,0.0,13875.6,87.8,0.0,2457632.5,dry
2016-09-01 01:00:00,01-9-2016,01:00,13.71,12.09,12.42,14.54,16.84,0.0,13870.6,89.9,0.0,2457632.54167,dry
2016-09-01 02:00:00,01-9-2016,02:00,12.13,11.22,7.67,11.86,16.42,0.0,13861.5,94.1,0.0,2457632.58333,dry
2016-09-01 03:00:00,01-9-2016,03:00,12.31,11.47,9.17,11.86,15.9,0.0,13854.4,94.6,0.0,2457632.625,dry
2016-09-01 04:00:00,01-9-2016,04:00,11.75,11.28,10.26,11.98,15.51,0.0,13847.4,96.9,0.0,2457632.66667,dry
2016-09-01 05:00:00,01-9-2016,05:00,11.88,11.16,10.22,11.63,15.23,0.0,13841.2,95.4,0.0,2457632.70833,dry
2016-09-01 06:00:00,01-9-2016,06:00,12.5,11.81,12.03,12.94,14.93,0.0,13885.7,95.6,0.0,2457632.75,dry
2016-09-01 07:00:00,01-9-2016,07:00,13.41,11.83,13.15,14.77,15.06,0.0,14138.5,90.1,0.0,2457632.79167,dry
2016-09-01 08:00:00,01-9-2016,08:00,14.68,11.86,18.41,18.3,15.37,0.0,14810.9,83.2,0.0,2457632.83333,dry
2016-09-01 09:00:00,01-9-2016,09:00,16.31,10.83,21.33,24.53,16.05,0.0,16144.8,70.0,0.0,2457632.875,dry
2016-09-01 10:00:00,01-9-2016,10:00,17.08,9.49,25.15,26.77,16.97,0.0,1494.9,61.0,0.0,2457632.91667,dry
2016-09-01 11:00:00,01-9-2016,11:00,18.17,10.66,27.63,29.8,17.77,0.0,2812.4,61.5,0.0,2457632.95833,dry
2016-09-01 12:00:00,01-9-2016,12:00,17.84,9.62,23.17,26.42,18.7,0.0,4352.9,58.6,0.0,2457633.0,dry
2016-09-01 13:00:00,01-9-2016,13:00,19.49,10.44,28.54,32.38,19.68,0.0,6485.9,55.8,0.0,2457633.04167,dry
2016-09-01 14:00:00,01-9-2016,14:00,20.04,9.09,28.42,32.75,21.14,0.0,8946.0,49.2,0.0,2457633.08333,dry
2016-09-01 15:00:00,01-9-2016,15:00,19.82,10.08,24.56,27.58,21.4,0.0,9990.0,53.4,0.0,2457633.125,dry
2016-09-01 16:00:00,01-9-2016,16:00,19.0,9.54,20.43,24.04,20.95,0.0,10825.3,54.2,0.0,2457633.16667,dry
2016-09-01 17:00:00,01-9-2016,17:00,18.75,10.21,18.85,21.85,20.39,0.0,11300.4,57.5,0.0,2457633.20833,dry
2016-09-01 18:00:00,01-9-2016,18:00,18.33,10.94,17.62,20.08,19.8,0.0,11519.4,62.0,0.0,2457633.25,dry
2016-09-01 19:00:00,01-9-2016,19:00,17.25,10.85,15.68,18.28,19.21,0.0,11580.8,66.0,0.0,2457633.29167,dry
2016-09-01 20:00:00,01-9-2016,20:00,16.7,10.83,14.86,16.89,18.61,0.0,11579.9,68.2,0.0,2457633.33333,dry
2016-09-01 21:00:00,01-9-2016,21:00,16.97,10.92,15.69,16.83,18.05,0.0,11574.7,67.5,0.0,2457633.375,dry
2016-09-01 22:00:00,01-9-2016,22:00,16.72,10.96,15.93,16.75,17.67,0.0,11571.1,68.8,0.0,2457633.41667,dry
2016-09-01 23:00:00,01-9-2016,23:00,16.27,11.06,14.97,15.85,17.34,0.0,11566.7,71.2,0.0,2457633.45833,dry
2016-09-02 00:00:00,02-9-2016,00:00,15.76,11.73,15.02,15.8,17.05,0.0,11563.2,76.9,0.0,2457633.5,dry
2016-09-02 01:00:00,02-9-2016,01:00,15.32,11.58,14.68,15.37,16.79,0.0,11558.9,78.4,0.0,2457633.54167,dry
2016-09-02 02:00:00,02-9-2016,02:00,13.93,12.56,13.33,14.97,16.6,0.4,11555.9,91.4,0.4,2457633.58333,rain
2016-09-02 03:00:00,02-9-2016,03:00,14.2,12.86,13.19,14.37,16.36,0.6,11552.8,91.6,0.2,2457633.625,rain
2016-09-02 04:00:00,02-9-2016,04:00,13.9,12.83,12.79,13.65,16.1,0.6,11547.5,93.3,0.0,2457633.66667,dry
