Datestr,timestr,Comments,Agri_activitiy,Met,Haze,Fog
160915,14:00,Tractor dust,Tractor,,N,N
160921,,"windy, hazy",,Hazy,Y,N
160922,,"clear, rained heavily night before",,"clear, rained heavily night before",N,N
160923,,Harvesting downwind,Tractor,,N,N
160930,14:45,Heaving downpour at 1445,,Heavy Rain,N,N
161003,,Tillage at 16:00,Tractor,,N,N
161004,11:00,Tillage,Tractor,,N,N
161011,11:42,Haze before 11:42,,Haze,Y,N
161014,,Fog,,Fog,N,Y
161019,,Tillage in field next to container,Tractor,,N,N
161026,,Tractor,,,N,N
161031,,"Hazy, Tractor spraying",Tractor,Haze,Y,N
