T,J,J+,J-,experiment,site
-10.57700291,0.009526402,0.015320589,0.005962527,3,1
-10.82606891,0.020860524,0.029932935,0.014658315,3,1
-10.90909091,0.037190592,0.05190317,0.026984695,3,1
-10.99211291,0.08983275,0.12807806,0.065194771,3,1
-11.07513491,0.02569178,0.058239218,0.011951883,3,1
-11.15815691,0.030386926,0.075337217,0.013243108,3,1
-11.24117891,0.085137604,0.222212142,0.040829419,3,1
-11.49024491,0.067577518,0.653256433,0.020052963,3,1
-10.3279369,0.009526402,0.015320589,0.005962527,1,1
-10.4109589,0.010104104,0.016491638,0.006236567,1,1
-10.4939809,0.01075642,0.017844377,0.006538666,1,1
-10.66002491,0.011498812,0.019423212,0.006873517,1,1
-10.74304691,0.012351329,0.021287996,0.007246945,1,1
-10.82606891,0.013340451,0.023521307,0.007666277,1,1
-10.90909091,0.033445116,0.053668596,0.021319753,1,1
-10.99211291,0.078333938,0.136080333,0.048394016,1,1
-11.15815691,0.067577518,0.145655086,0.035261356,1,1
-11.32420091,0.037190592,0.10525963,0.014882959,1,1
-11.40722291,0.047947012,0.171614582,0.017045796,1,1
