,Date,start,end,INP,T,INP_plus,INP_minus
29,2016-10-11 00:00:00,2016-10-11 10:40:00,2016-10-11 14:03:00,13.0782198356,-27.0,15.2448077231,11.1008733275
66,2016-10-03 00:00:00,2016-10-03 10:26:00,2016-10-03 13:27:00,19.8445165671,-26.0,22.3470082627,17.5188941165
71,2016-10-04 00:00:00,2016-10-04 10:33:00,2016-10-04 13:20:00,22.0488404589,-26.0,25.6571571171,18.7472383715
74,2016-10-05 00:00:00,2016-10-05 11:16:00,2016-10-05 12:18:00,34.604439565,-26.0,41.7302061724,28.1991530776
87,2016-10-11 00:00:00,2016-10-11 10:40:00,2016-10-11 14:03:00,7.28730631445,-26.0,9.01311765262,5.75073635559
103,2016-10-20 00:00:00,2016-10-20 11:45:00,2016-10-20 13:35:00,20.1202249779,-26.0,24.2799926348,16.3573168251
104,2016-10-20 00:00:00,2016-10-20 13:45:00,2016-10-20 16:00:00,21.4902926398,-26.0,25.8837641011,17.523665623
114,2016-11-01 00:00:00,2016-11-01 11:10:00,2016-11-01 14:10:00,7.8978469102,-26.0,10.248217934,5.8676092197
124,2016-10-03 00:00:00,2016-10-03 10:26:00,2016-10-03 13:27:00,7.87464674395,-25.0,9.59902384541,6.32713888743
128,2016-10-03 00:00:00,2016-10-03 10:20:00,2016-10-03 13:59:00,8.42999550223,-25.0,10.6140096326,6.52006812987
129,2016-10-04 00:00:00,2016-10-04 10:33:00,2016-10-04 13:20:00,12.2983224671,-25.0,15.1151736318,9.78818587322
132,2016-10-05 00:00:00,2016-10-05 11:16:00,2016-10-05 12:18:00,17.7476703791,-25.0,23.0552902503,13.160530628
134,2016-10-06 00:00:00,2016-10-06 11:40:00,2016-10-06 14:10:00,3.38856052495,-25.0,4.00152954629,2.82681283695
139,2016-10-07 00:00:00,2016-10-07 13:02:00,2016-10-07 15:02:00,15.659086413,-25.0,18.9288434794,12.7031855559
141,2016-10-07 00:00:00,2016-10-07 13:02:00,2016-10-07 15:02:00,12.7249148956,-25.0,16.0791239923,9.77087246561
145,2016-10-11 00:00:00,2016-10-11 10:40:00,2016-10-11 14:03:00,4.44965527798,-25.0,5.81604988869,3.27250204659
147,2016-10-11 00:00:00,2016-10-11 10:40:00,2016-10-11 14:03:00,15.5030631273,-25.0,17.8715262833,13.3201307353
148,2016-10-11 00:00:00,2016-10-11 14:10:00,2016-10-11 16:24:00,16.303077022,-25.0,19.4584634826,13.4343771287
154,2016-10-17 00:00:00,2016-10-17 15:10:00,2016-10-17 17:11:00,25.1086066488,-25.0,28.6041273882,21.8611230995
155,2016-10-18 00:00:00,2016-10-18 14:15:00,2016-10-18 16:10:00,18.5125696965,-25.0,22.1892808766,15.1699106904
158,2016-10-18 00:00:00,2016-10-18 10:55:00,2016-10-18 14:15:00,12.581814973,-25.0,15.3154130474,10.1226168986
161,2016-10-20 00:00:00,2016-10-20 11:45:00,2016-10-20 13:35:00,8.82894997395,-25.0,11.6469007747,6.40785867737
162,2016-10-20 00:00:00,2016-10-20 13:45:00,2016-10-20 16:00:00,8.59299068011,-25.0,11.4432918939,6.16953391081
168,2016-10-27 00:00:00,2016-10-27 11:49:00,2016-10-27 15:58:00,13.7386933922,-25.0,15.6298676803,11.9778975191
169,2016-10-27 00:00:00,2016-10-27 11:49:00,2016-10-27 15:58:00,13.5973135777,-25.0,15.3046381473,11.9971286779
171,2016-10-31 00:00:00,2016-10-31 10:17:00,2016-10-31 17:30:00,6.81301489598,-25.0,7.7466222379,5.94130561517
172,2016-11-01 00:00:00,2016-11-01 11:10:00,2016-11-01 14:10:00,3.20139418583,-25.0,4.77785923577,1.94506246923
174,2016-09-26 00:00:00,2016-09-26 12:00:00,2016-09-26 15:00:00,10.8414209414,-24.0,13.0212589856,8.87082036995
177,2016-09-28 00:00:00,2016-09-28 12:35:00,2016-09-28 15:35:00,13.8823715316,-24.0,16.5262687589,11.4756101068
182,2016-10-03 00:00:00,2016-10-03 10:26:00,2016-10-03 13:27:00,3.02584070302,-24.0,4.13932162959,2.08922902139
183,2016-10-03 00:00:00,2016-10-03 10:32:00,2016-10-03 13:35:00,4.88256586411,-24.0,5.65207603524,4.1719788303
186,2016-10-03 00:00:00,2016-10-03 10:20:00,2016-10-03 13:59:00,5.44864755378,-24.0,7.291989323,3.87939254256
187,2016-10-04 00:00:00,2016-10-04 10:33:00,2016-10-04 13:20:00,9.9740135745,-24.0,12.5411093082,7.71363241162
190,2016-10-05 00:00:00,2016-10-05 11:16:00,2016-10-05 12:18:00,12.8351212274,-24.0,17.4132355524,8.97748702233
191,2016-10-06 00:00:00,2016-10-06 14:24:00,2016-10-06 16:54:00,19.084613864,-24.0,22.3584168615,16.0775886443
192,2016-10-06 00:00:00,2016-10-06 11:40:00,2016-10-06 14:10:00,1.68578875584,-24.0,2.1169249,1.30587394502
197,2016-10-07 00:00:00,2016-10-07 13:02:00,2016-10-07 15:02:00,7.58780505425,-24.0,9.89913027926,5.5903360384
199,2016-10-07 00:00:00,2016-10-07 13:02:00,2016-10-07 15:02:00,6.0540651826,-24.0,8.40424307491,4.10405395695
200,2016-10-10 00:00:00,2016-10-10 12:39:00,2016-10-10 13:39:00,23.3715353754,-24.0,30.2637483506,17.3939890668
201,2016-10-10 00:00:00,2016-10-10 13:50:00,2016-10-10 16:36:00,14.1937950938,-24.0,16.8773408873,11.7513135573
202,2016-10-10 00:00:00,2016-10-10 11:29:00,2016-10-10 16:36:00,6.41960048922,-24.0,7.77922245313,5.19599325411
203,2016-10-11 00:00:00,2016-10-11 10:40:00,2016-10-11 14:03:00,2.26431022465,-24.0,3.27111438728,1.44674744133
205,2016-10-11 00:00:00,2016-10-11 10:40:00,2016-10-11 14:03:00,8.02581546665,-24.0,9.79305237517,6.44410932217
206,2016-10-11 00:00:00,2016-10-11 14:10:00,2016-10-11 16:24:00,8.41275640915,-24.0,10.7046161488,6.4075832367
211,2016-10-17 00:00:00,2016-10-17 11:46:00,2016-10-17 14:49:00,8.92741173474,-24.0,11.2069988623,6.91022897874
212,2016-10-17 00:00:00,2016-10-17 15:10:00,2016-10-17 17:11:00,15.6621076236,-24.0,18.5448267676,13.0274256697
213,2016-10-18 00:00:00,2016-10-18 14:15:00,2016-10-18 16:10:00,11.3109231771,-24.0,14.1974023783,8.7584961499
