# Days since 1st of September,T=-15,T=-20,T=-25
1.00E+00,2.85E+00,5.09E+01,9.85E+02
2.00E+00,2.62E+00,9.26E+01,1.86E+03
3.00E+00,5.32E+00,1.23E+02,2.55E+03
4.00E+00,4.09E+00,1.65E+02,3.45E+03
5.00E+00,4.76E+00,1.11E+02,2.03E+03
6.00E+00,4.32E+00,4.36E+01,5.03E+02
7.00E+00,4.16E+00,4.49E+01,5.94E+02
8.00E+00,3.05E+00,3.39E+01,4.76E+02
9.00E+00,6.94E+00,3.34E+02,5.48E+03
1.00E+01,2.30E+00,8.62E+01,1.90E+03
1.10E+01,1.07E+01,1.53E+03,2.50E+04
1.20E+01,1.12E+01,1.16E+03,2.30E+04
1.30E+01,4.75E+00,2.50E+02,8.15E+03
1.40E+01,1.07E+01,4.19E+02,9.32E+03
1.50E+01,7.70E+00,1.20E+02,2.15E+03
1.60E+01,4.75E+00,2.66E+02,6.72E+03
1.70E+01,4.73E+00,1.43E+02,3.52E+03
1.80E+01,6.59E+00,1.55E+02,4.24E+03
1.90E+01,4.61E+00,1.46E+02,3.90E+03
2.00E+01,2.79E+00,7.81E+01,1.79E+03
2.10E+01,4.49E+00,5.38E+01,8.12E+02
2.20E+01,8.88E+00,8.64E+01,9.11E+02
2.30E+01,7.01E+00,1.14E+02,2.57E+03
2.40E+01,3.62E+00,1.01E+02,2.91E+03
2.50E+01,6.13E+00,2.06E+02,5.65E+03
2.60E+01,4.83E+00,5.01E+01,6.24E+02
2.70E+01,2.33E+00,5.04E+01,1.18E+03
2.80E+01,2.02E+00,1.54E+02,4.64E+03
2.90E+01,3.59E+00,2.53E+02,5.52E+03
3.00E+01,4.08E+00,4.22E+02,8.12E+03
3.10E+01,3.66E+00,4.64E+02,7.94E+03
3.20E+01,4.12E+00,4.03E+02,6.56E+03
3.30E+01,4.78E+00,6.55E+01,1.15E+03
3.40E+01,4.90E+00,5.49E+01,7.96E+02
3.50E+01,7.82E+00,7.64E+01,8.67E+02
3.60E+01,8.35E+00,8.77E+01,1.15E+03
3.70E+01,3.64E+00,7.81E+01,2.22E+03
3.80E+01,8.68E+00,1.41E+02,2.79E+03
3.90E+01,1.01E+01,1.40E+02,2.35E+03
4.00E+01,1.26E+01,2.32E+02,5.77E+03
4.10E+01,1.28E+01,4.25E+02,1.21E+04
4.20E+01,1.92E+01,2.15E+03,5.74E+04
4.30E+01,3.34E+01,4.64E+03,1.34E+05
4.40E+01,1.71E+01,1.64E+03,4.87E+04
4.50E+01,1.41E+01,9.24E+02,2.85E+04
4.60E+01,1.39E+01,1.17E+03,3.83E+04
4.70E+01,8.75E+00,4.13E+02,1.31E+04
4.80E+01,9.09E+00,9.51E+01,1.25E+03
4.90E+01,6.58E+00,6.99E+01,9.69E+02
5.00E+01,4.51E+00,7.98E+01,2.30E+03
5.10E+01,2.96E+01,3.85E+03,1.12E+05
5.20E+01,1.10E+01,9.40E+02,3.61E+04
5.30E+01,8.07E+00,2.26E+02,8.10E+03
5.40E+01,7.23E+00,9.17E+01,1.67E+03
5.50E+01,7.12E+00,6.98E+01,8.27E+02
5.60E+01,7.53E+00,8.19E+01,1.17E+03
5.70E+01,7.56E+00,7.45E+01,8.54E+02
5.80E+01,7.39E+00,9.34E+01,1.70E+03
5.90E+01,5.15E+00,4.20E+02,1.16E+04
6.00E+01,2.55E+00,2.41E+02,7.72E+03
6.10E+01,8.61E+00,1.34E+03,4.01E+04
