# Days since 1st of September,T=-15,T=-20,T=-25
1.000000000000000000e+00,2.418862965246656671e+01,3.196933630689513279e+02,4.049971678336428340e+03
2.000000000000000000e+00,6.853354959739948526e+01,9.048559391802958771e+02,1.132039524076176713e+04
3.000000000000000000e+00,7.314053571928977249e+01,9.665461754756875052e+02,1.220358394718054478e+04
4.000000000000000000e+00,1.271271194836372160e+02,1.678901947513240657e+03,2.103133350567855086e+04
5.000000000000000000e+00,6.797293607048491992e+01,8.975282633531427336e+02,1.123181224522504272e+04
6.000000000000000000e+00,3.302300827807802541e+00,4.372921308667913820e+01,5.675714861481189928e+02
7.000000000000000000e+00,6.121515312832538136e+00,8.105695669841423978e+01,1.051697131910329517e+03
8.000000000000000000e+00,5.458044103981978701e+00,7.219786884477204580e+01,9.234570854003993645e+02
9.000000000000000000e+00,2.832050642282266040e+02,3.733448909762050334e+03,4.575913321926057688e+04
1.000000000000000000e+01,6.211667202957679024e+01,8.205068009321621503e+02,1.030986705808378065e+04
1.100000000000000000e+01,2.418403863479588381e+03,3.185928660314522131e+04,3.872040195418243529e+05
1.200000000000000000e+01,1.610925616143572597e+03,2.124940304851505061e+04,2.627651891955694882e+05
1.300000000000000000e+01,2.541080004778967520e+02,3.360373298138521477e+03,4.294965220682292420e+04
1.400000000000000000e+01,4.370928424128920255e+02,5.772332152995754768e+03,7.244046600951917935e+04
1.500000000000000000e+01,6.134103782781861725e+01,8.116507648483383264e+02,1.042571303288510717e+04
1.600000000000000000e+01,2.929395709532385013e+02,3.871062685612389032e+03,4.885794362665362860e+04
1.700000000000000000e+01,8.597786913325792568e+01,1.137688867303219013e+03,1.464915052853255111e+04
1.800000000000000000e+01,8.464912164285850338e+01,1.119778716407978663e+03,1.433579734533740339e+04
1.900000000000000000e+01,9.734718809915294457e+01,1.287168590509542355e+03,1.639020016414136626e+04
2.000000000000000000e+01,5.002003062673004763e+01,6.618635758949777710e+02,8.496446683386622681e+03
2.100000000000000000e+01,1.160146041686932605e+01,1.535806540956734239e+02,1.987215551584688683e+03
2.200000000000000000e+01,3.693125451459759567e+00,4.889940769000403975e+01,6.338692380827670831e+02
2.300000000000000000e+01,4.649829022068028905e+01,6.150025624406978295e+02,7.880606611718765635e+03
2.400000000000000000e+01,6.398993672211636152e+01,8.463670078233567438e+02,1.082820126995464670e+04
2.500000000000000000e+01,1.384585490386931212e+02,1.830483732919625027e+03,2.331910722551720755e+04
2.600000000000000000e+01,4.742377083251319014e+00,6.278519267092424627e+01,8.152745167673259630e+02
2.700000000000000000e+01,2.655199162893110554e+01,3.514796160890293777e+02,4.542786682915177153e+03
2.800000000000000000e+01,1.260487153430138818e+02,1.666447526801517824e+03,2.119325645010633161e+04
2.900000000000000000e+01,2.087470297597453168e+02,2.756298863141660604e+03,3.446815705141138460e+04
3.000000000000000000e+01,3.701979141936291171e+02,4.884045936180511490e+03,6.042912890414062713e+04
3.100000000000000000e+01,4.209395485445940039e+02,5.548168057433807007e+03,6.789887533604969212e+04
3.200000000000000000e+01,3.587066977683907680e+02,4.726295991302705261e+03,5.756149407929832523e+04
3.300000000000000000e+01,1.945504413307335057e+01,2.575740948290785468e+02,3.330467910786590437e+03
3.400000000000000000e+01,8.436432721987676686e+00,1.117213086519469840e+02,1.452649975240559343e+03
3.500000000000000000e+01,3.275641483026056733e+00,4.338500104744662167e+01,5.663845657647665348e+02
3.600000000000000000e+01,9.431283191993772519e+00,1.249365895391518677e+02,1.627508297758616436e+03
3.700000000000000000e+01,4.136765785003263574e+01,5.477919154578125926e+02,7.138182565538635572e+03
3.800000000000000000e+01,5.826259045416930604e+01,7.714045145098366447e+02,9.972264046727425011e+03
3.900000000000000000e+01,4.727212166571516150e+01,6.256495493601814815e+02,8.069638915632041062e+03
4.000000000000000000e+01,1.176793706130183637e+02,1.556762984977168571e+03,1.996493657505946612e+04
4.100000000000000000e+01,3.154368945625038805e+02,4.171837920369707717e+03,5.322326041037217510e+04
4.200000000000000000e+01,2.032988934678391843e+03,2.686090958922334175e+04,3.389277458849888062e+05
4.300000000000000000e+01,4.402156941969621585e+03,5.817601519662930514e+04,7.368241516589889070e+05
4.400000000000000000e+01,1.497303237501983858e+03,1.981794265003260443e+04,2.551504018555485527e+05
4.500000000000000000e+01,8.230117217913710874e+02,1.089266937557951496e+04,1.407351766374754952e+05
4.600000000000000000e+01,1.096031330371622516e+03,1.451225523053314828e+04,1.878125561933337885e+05
4.700000000000000000e+01,3.517762323807160101e+02,4.656971133842144809e+03,6.031044570028063026e+04
