# Days ,T=-15,T=-20,T=-25
1.000000000000000000e+00,4.279665302078766720e-01,7.240115934674540199e+01,1.674875274899076658e+03
2.000000000000000000e+00,6.390707289630636057e-01,1.086882030930617304e+02,2.746270564423621636e+03
3.000000000000000000e+00,1.094146384183768417e+00,1.857024357694567698e+02,4.525789826862884183e+03
4.000000000000000000e+00,1.301289004171237496e+00,2.175076843922301180e+02,4.210447350832083430e+03
5.000000000000000000e+00,9.881390957503599637e-01,1.645456009941584057e+02,3.045767110886603859e+03
6.000000000000000000e+00,3.109174446489952788e-03,5.489038997191225677e-01,2.474442750804943358e+01
7.000000000000000000e+00,5.212517494796948918e-03,9.215473956795906529e-01,4.329928669070329050e+01
8.000000000000000000e+00,3.915099309992049054e-02,6.775585443729764457e+00,2.515996139392735245e+02
9.000000000000000000e+00,2.665059524612021780e-01,4.510851740246832264e+01,1.090785096543544114e+03
1.000000000000000000e+01,6.727786330704739470e-02,1.153321092940392845e+01,3.413395799350108177e+02
1.100000000000000000e+01,5.046373561644051264e+00,8.372788240170214067e+02,1.497486385149317903e+04
1.200000000000000000e+01,1.669568883806955029e+01,2.714943001283124886e+03,3.973065755732003163e+04
1.300000000000000000e+01,1.246129646274351410e+00,2.136278515389136601e+02,6.320652161053580130e+03
1.400000000000000000e+01,3.498673916332732503e+00,5.919598566136669433e+02,1.392391613564492400e+04
1.500000000000000000e+01,3.371261482057553716e-01,5.877165933660243269e+01,1.801142998997411723e+03
1.600000000000000000e+01,1.485506516531638566e+00,2.545941854094869257e+02,7.469700928096543976e+03
1.700000000000000000e+01,1.571726810220884341e+00,2.679990512258217450e+02,7.145379933632749271e+03
1.800000000000000000e+01,1.618338135884124673e+00,2.772323613836574054e+02,8.057701650297253764e+03
1.900000000000000000e+01,2.273614212058356454e+00,3.860780826053818373e+02,9.497182151349574269e+03
2.000000000000000000e+01,2.041585986703344791e+00,3.445221516306837088e+02,7.664055901656789501e+03
2.100000000000000000e+01,5.667753852187060737e-01,9.720855821542454578e+01,2.898591375794604573e+03
2.200000000000000000e+01,5.387558834971399591e-02,9.427340051901042628e+00,3.164154142153214480e+02
2.300000000000000000e+01,2.483200620382347568e-01,4.326210424852693848e+01,1.300177951025453922e+03
2.400000000000000000e+01,4.205145027500750143e-01,7.284512509786569012e+01,2.735988992463335308e+03
2.500000000000000000e+01,9.281161272844096199e-01,1.583630323416357726e+02,4.242542254885607690e+03
2.600000000000000000e+01,1.088068205722994147e-01,1.905176962013559105e+01,6.448038716469865221e+02
2.700000000000000000e+01,2.977224777646028664e-01,5.152605847973804742e+01,1.890805387436430919e+03
2.800000000000000000e+01,8.505130857057849880e-01,1.454360482991876324e+02,4.075723876092155479e+03
2.900000000000000000e+01,1.491720779575721245e+00,2.525652623919405926e+02,5.908265292005947231e+03
3.000000000000000000e+01,2.444196752211608814e+00,4.086363082465023808e+02,7.943073935439981142e+03
3.100000000000000000e+01,2.140007893311987264e+00,3.522496390418633041e+02,5.708916594820624596e+03
3.200000000000000000e+01,2.553419134969063364e+00,4.160945711982685680e+02,6.234463664505294219e+03
3.300000000000000000e+01,2.767133070077304469e-01,4.813953136835088742e+01,1.435835794032286913e+03
3.400000000000000000e+01,3.736428289133820191e-01,6.538224838776687875e+01,2.172464687348070129e+03
