# Days ,T=-15,T=-20,T=-25
1.000000000000000000e+00,3.165941238403320312e+00,2.942811012268066406e+01,2.735406799316406250e+02
2.000000000000000000e+00,2.906943082809448242e+00,2.702066802978515625e+01,2.511629791259765625e+02
3.000000000000000000e+00,2.568912029266357422e+00,2.387859535217285156e+01,2.219567413330078125e+02
4.000000000000000000e+00,2.454085350036621094e+00,2.281125640869140625e+01,2.120355834960937500e+02
5.000000000000000000e+00,1.650303125381469727e+00,1.533992576599121094e+01,1.425879516601562500e+02
6.000000000000000000e+00,1.487844228744506836e+00,1.382983493804931641e+01,1.285513153076171875e+02
7.000000000000000000e+00,1.524935245513916016e+00,1.417460441589355469e+01,1.317560272216796875e+02
8.000000000000000000e+00,2.219639301300048828e+00,2.063202857971191406e+01,1.917791900634765625e+02
9.000000000000000000e+00,9.145216941833496094e-01,8.500677108764648438e+00,7.901564788818359375e+01
1.000000000000000000e+01,1.140406847000122070e+00,1.060032844543457031e+01,9.853235626220703125e+01
1.100000000000000000e+01,8.010269999504089355e-01,7.445719718933105469e+00,6.920958709716796875e+01
1.200000000000000000e+01,1.337744593620300293e+00,1.243462657928466797e+01,1.155825576782226562e+02
1.300000000000000000e+01,1.546920537948608398e+00,1.437896251678466797e+01,1.336555786132812500e+02
1.400000000000000000e+01,3.415399789810180664e+00,3.174688148498535156e+01,2.950941772460937500e+02
1.500000000000000000e+01,4.894512176513671875e+00,4.549555206298828125e+01,4.228910217285156250e+02
1.600000000000000000e+01,3.565493345260620117e+00,3.314203262329101562e+01,3.080624084472656250e+02
1.700000000000000000e+01,2.431229352951049805e+00,2.259880447387695312e+01,2.100608062744140625e+02
1.800000000000000000e+01,3.261640071868896484e+00,3.031765174865722656e+01,2.818091735839843750e+02
1.900000000000000000e+01,4.143879413604736328e+00,3.851825714111328125e+01,3.580355834960937500e+02
2.000000000000000000e+01,3.364717960357666016e+00,3.127578353881835938e+01,2.907152099609375000e+02
2.100000000000000000e+01,1.316118717193603516e+00,1.223360824584960938e+01,1.137140502929687500e+02
2.200000000000000000e+01,2.886858224868774414e+00,2.683397483825683594e+01,2.494276275634765625e+02
2.300000000000000000e+01,3.596584558486938477e+00,3.343103408813476562e+01,3.107487182617187500e+02
2.400000000000000000e+01,2.079869031906127930e+00,1.933283424377441406e+01,1.797028961181640625e+02
2.500000000000000000e+01,1.932210922241210938e+00,1.796031951904296875e+01,1.669450836181640625e+02
2.600000000000000000e+01,1.458878636360168457e+00,1.356059360504150391e+01,1.260486679077148438e+02
2.700000000000000000e+01,1.729250669479370117e+00,1.607376098632812500e+01,1.494091033935546875e+02
2.800000000000000000e+01,1.381153941154479980e+00,1.283812522888183594e+01,1.193331680297851562e+02
2.900000000000000000e+01,6.843582987785339355e-01,6.361258506774902344e+00,5.912928390502929688e+01
3.000000000000000000e+01,2.992367446422576904e-01,2.781470537185668945e+00,2.585437393188476562e+01
3.100000000000000000e+01,2.070899307727813721e-01,1.924945831298828125e+00,1.789278984069824219e+01
3.200000000000000000e+01,2.643790841102600098e-01,2.457461118698120117e+00,2.284263420104980469e+01
3.300000000000000000e+01,2.104780912399291992e+00,1.956439399719238281e+01,1.818553009033203125e+02
3.400000000000000000e+01,1.756068587303161621e+00,1.632303810119628906e+01,1.517261962890625000e+02
3.500000000000000000e+01,1.116852879524230957e+00,1.038138961791992188e+01,9.649727630615234375e+01
3.600000000000000000e+01,4.138692378997802734e+00,3.847004318237304688e+01,3.575874328613281250e+02
3.700000000000000000e+01,3.866438388824462891e+00,3.593938446044921875e+01,3.340643920898437500e+02
3.800000000000000000e+01,2.406241416931152344e+00,2.236653709411621094e+01,2.079018249511718750e+02
3.900000000000000000e+01,1.883501768112182617e+00,1.750755882263183594e+01,1.627365570068359375e+02
4.000000000000000000e+01,2.494689941406250000e+00,2.318868446350097656e+01,2.155438690185546875e+02
4.100000000000000000e+01,1.876425981521606445e+00,1.744178771972656250e+01,1.621251983642578125e+02
4.200000000000000000e+01,1.292354464530944824e+00,1.201271533966064453e+01,1.116607971191406250e+02
4.300000000000000000e+01,1.807556390762329102e+00,1.680162811279296875e+01,1.561747894287109375e+02
4.400000000000000000e+01,1.374932408332824707e+00,1.278029441833496094e+01,1.187956237792968750e+02
4.500000000000000000e+01,1.450423836708068848e+00,1.348200416564941406e+01,1.253181686401367188e+02
4.600000000000000000e+01,2.457829952239990234e+00,2.284606170654296875e+01,2.123591156005859375e+02
4.700000000000000000e+01,2.377855539321899414e+00,2.210268211364746094e+01,2.054492492675781250e+02
4.800000000000000000e+01,2.062535285949707031e+00,1.917171287536621094e+01,1.782052459716796875e+02
4.900000000000000000e+01,2.707660913467407227e+00,2.516829490661621094e+01,2.339447784423828125e+02
5.000000000000000000e+01,1.876847743988037109e+00,1.744570732116699219e+01,1.621616363525390625e+02
5.100000000000000000e+01,2.022153854370117188e+00,1.879635810852050781e+01,1.747162475585937500e+02
5.200000000000000000e+01,1.912149310111999512e+00,1.777384185791015625e+01,1.652117309570312500e+02
5.300000000000000000e+01,1.712893247604370117e+00,1.592171478271484375e+01,1.479958038330078125e+02
5.400000000000000000e+01,1.994960904121398926e+00,1.854359436035156250e+01,1.723667449951171875e+02
5.500000000000000000e+01,1.511585831642150879e+00,1.405051803588867188e+01,1.306026153564453125e+02
5.600000000000000000e+01,2.452888727188110352e+00,2.280013084411621094e+01,2.119321899414062500e+02
5.700000000000000000e+01,1.185214519500732422e+00,1.101682567596435547e+01,1.024037933349609375e+02
5.800000000000000000e+01,2.652281284332275391e+00,2.465353012084960938e+01,2.291599273681640625e+02
5.900000000000000000e+01,2.303429603576660156e+00,2.141087722778320312e+01,1.990187683105468750e+02
6.000000000000000000e+01,2.673591852188110352e+00,2.485161781311035156e+01,2.310011901855468750e+02
6.100000000000000000e+01,1.803755760192871094e+00,1.676630020141601562e+01,1.558464050292968750e+02
