Date,log10,Date,Log10 INP,Date,Log10 INP
160926.00,-0.958549691,160926.00,-0.213792503,161101.00,0.505339152
160926.00,-1.017189778,160926.00,-0.407339539,161006.00,0.530015247
160926.00,-0.392659191,160926.00,0.22842746,161011.00,0.648326367
160927.00,-0.787128585,160927.00,-0.245517764,161003.00,0.85505555
160928.00,-0.903614239,160928.00,-0.327613324,161003.00,0.884456432
160928.00,0.517957507,160930.00,-0.092072289,161020.00,0.934144341
160930.00,-1.466115275,160930.00,0.003051063,161020.00,0.945909056
160930.00,-1.314721296,161003.00,0.247088218,161010.00,1.046341681
161003.00,-0.844369436,161003.00,-1.032796291,161004.00,1.089845876
161003.00,-1.032796291,161003.00,-0.289973865,161011.00,1.190417515
161003.00,-0.701847384,161004.00,0.447797962,161007.00,1.194766421
161003.00,0.078738333,161005.00,1.055917788,161011.00,1.21226958
161004.00,-0.573925081,161005.00,1.044056552,161018.00,1.267466707
161005.00,-1.146376863,161006.00,-0.155689724,160928.00,1.325271868
161005.00,0.072188659,161006.00,-0.787093441,161010.00,1.769397738
161006.00,-0.852768827,161006.00,0.860088784,,
161006.00,-1.304439378,161006.00,0.121847807,,
161006.00,-0.772665157,161006.00,0.59307764,,
161006.00,-1.307841086,161007.00,-0.077847363,,
161006.00,-1.329836511,161007.00,0.205667428,,
161007.00,-0.442934333,161010.00,0.285883258,,
161007.00,-0.454797533,161010.00,-0.387625466,,
161007.00,-0.653186776,161010.00,-0.358683463,,
161010.00,-0.315939936,161011.00,-0.168041408,,
161010.00,-0.896785656,161011.00,-0.348702322,,
161010.00,-1.14513229,161011.00,1.199333002,,
161011.00,-0.857946915,161011.00,0.021976435,,
161011.00,-1.002086466,161013.00,0.124835573,,
161011.00,-0.568890673,161013.00,-0.067937393,,
161011.00,-0.376786681,161017.00,0.03028853,,
161013.00,-0.530576588,161018.00,0.425289135,,
161013.00,-0.649011937,161018.00,0.330038566,,
161017.00,-0.537381564,161018.00,0.064627461,,
161018.00,-0.728103355,161020.00,-0.679862815,,
161018.00,-0.790913034,161020.00,-0.647726421,,
161018.00,-0.447000693,161021.00,0.11446773,,
161020.00,-0.679862815,161021.00,0.844565808,,
161020.00,-0.647726421,161021.00,0.414487522,,
161021.00,-0.742631203,161024.00,0.201963193,,
161021.00,0.585220134,161027.00,0.557231881,,
161021.00,0.304937213,161031.00,-0.468752304,,
161024.00,-0.717963755,161101.00,-0.711338554,,
161027.00,0.365542576,161102.00,-0.735586617,,
161031.00,-1.254514978,,,,
,,,,,
,,,,,
