# Days since 1st of September,T=-15,T=-20,T=-25
160901,2.42E+01,3.20E+02,4.05E+03
160902,6.85E+01,9.05E+02,1.13E+04
160903,7.31E+01,9.67E+02,1.22E+04
160904,1.27E+02,1.68E+03,2.10E+04
160905,6.80E+01,8.98E+02,1.12E+04
160906,3.30E+00,4.37E+01,5.68E+02
160907,6.12E+00,8.11E+01,1.05E+03
160908,5.46E+00,7.22E+01,9.23E+02
160909,2.83E+02,3.73E+03,4.58E+04
160910,6.21E+01,8.21E+02,1.03E+04
160911,2.42E+03,3.19E+04,3.87E+05
160912,1.61E+03,2.12E+04,2.63E+05
160913,2.54E+02,3.36E+03,4.29E+04
160914,4.37E+02,5.77E+03,7.24E+04
160915,6.13E+01,8.12E+02,1.04E+04
160916,2.93E+02,3.87E+03,4.89E+04
160917,8.60E+01,1.14E+03,1.46E+04
160918,8.46E+01,1.12E+03,1.43E+04
160919,9.73E+01,1.29E+03,1.64E+04
160920,5.00E+01,6.62E+02,8.50E+03
160921,1.16E+01,1.54E+02,1.99E+03
160922,3.69E+00,4.89E+01,6.34E+02
160923,4.65E+01,6.15E+02,7.88E+03
160924,6.40E+01,8.46E+02,1.08E+04
160925,1.38E+02,1.83E+03,2.33E+04
160926,4.74E+00,6.28E+01,8.15E+02
160927,2.66E+01,3.51E+02,4.54E+03
160928,1.26E+02,1.67E+03,2.12E+04
160929,2.09E+02,2.76E+03,3.45E+04
160930,3.70E+02,4.88E+03,6.04E+04
161001,4.21E+02,5.55E+03,6.79E+04
161002,3.59E+02,4.73E+03,5.76E+04
161003,1.95E+01,2.58E+02,3.33E+03
161004,8.44E+00,1.12E+02,1.45E+03
161005,3.28E+00,4.34E+01,5.66E+02
161006,9.43E+00,1.25E+02,1.63E+03
161007,4.14E+01,5.48E+02,7.14E+03
161008,5.83E+01,7.71E+02,9.97E+03
161009,4.73E+01,6.26E+02,8.07E+03
161010,1.18E+02,1.56E+03,2.00E+04
161011,3.15E+02,4.17E+03,5.32E+04
161012,2.03E+03,2.69E+04,3.39E+05
161013,4.40E+03,5.82E+04,7.37E+05
161014,1.50E+03,1.98E+04,2.55E+05
161015,8.23E+02,1.09E+04,1.41E+05
161016,1.10E+03,1.45E+04,1.88E+05
161017,3.52E+02,4.66E+03,6.03E+04
161018,1.02E+01,1.35E+02,1.75E+03
161019,8.36E+00,1.11E+02,1.45E+03
161020,3.16E+01,4.19E+02,5.48E+03
161021,2.65E+03,3.50E+04,4.50E+05
161022,6.11E+02,8.09E+03,1.05E+05
161023,1.14E+02,1.51E+03,1.97E+04
161024,2.32E+01,3.08E+02,4.00E+03
161025,2.87E+00,3.80E+01,4.97E+02
161026,1.12E+01,1.48E+02,1.93E+03
161027,3.90E+00,5.17E+01,6.75E+02
161028,2.31E+01,3.07E+02,3.99E+03
161029,3.50E+02,4.63E+03,5.94E+04
161030,2.00E+02,2.65E+03,3.43E+04
161031,1.09E+03,1.44E+04,1.85E+05
